"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc death","point",NA,1381,"2021-05-15","2021-05-10"
"PL","1 wk ahead inc death","quantile",0.025,407,"2021-05-15","2021-05-10"
"PL","1 wk ahead inc death","quantile",0.25,1063,"2021-05-15","2021-05-10"
"PL","1 wk ahead inc death","quantile",0.75,1755,"2021-05-15","2021-05-10"
"PL","1 wk ahead inc death","quantile",0.975,5036,"2021-05-15","2021-05-10"
"PL","2 wk ahead inc death","point",NA,949,"2021-05-22","2021-05-10"
"PL","2 wk ahead inc death","quantile",0.025,79,"2021-05-22","2021-05-10"
"PL","2 wk ahead inc death","quantile",0.25,529,"2021-05-22","2021-05-10"
"PL","2 wk ahead inc death","quantile",0.75,1405,"2021-05-22","2021-05-10"
"PL","2 wk ahead inc death","quantile",0.975,7360,"2021-05-22","2021-05-10"
