"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc case","point",NA,242969,"2022-05-21","2022-05-16"
"GM","1 wk ahead inc case","quantile",0.025,71676,"2022-05-21","2022-05-16"
"GM","1 wk ahead inc case","quantile",0.25,187086,"2022-05-21","2022-05-16"
"GM","1 wk ahead inc case","quantile",0.75,308814,"2022-05-21","2022-05-16"
"GM","1 wk ahead inc case","quantile",0.975,886109,"2022-05-21","2022-05-16"
"GM","2 wk ahead inc case","point",NA,159088,"2022-05-28","2022-05-16"
"GM","2 wk ahead inc case","quantile",0.025,13204,"2022-05-28","2022-05-16"
"GM","2 wk ahead inc case","quantile",0.25,88612,"2022-05-28","2022-05-16"
"GM","2 wk ahead inc case","quantile",0.75,235450,"2022-05-28","2022-05-16"
"GM","2 wk ahead inc case","quantile",0.975,1233568,"2022-05-28","2022-05-16"
