"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc case","point",NA,16859,"2021-08-07","2021-08-02"
"GM","1 wk ahead inc case","quantile",0.025,4973,"2021-08-07","2021-08-02"
"GM","1 wk ahead inc case","quantile",0.25,12982,"2021-08-07","2021-08-02"
"GM","1 wk ahead inc case","quantile",0.75,21428,"2021-08-07","2021-08-02"
"GM","1 wk ahead inc case","quantile",0.975,61486,"2021-08-07","2021-08-02"
"GM","2 wk ahead inc case","point",NA,18754,"2021-08-14","2021-08-02"
"GM","2 wk ahead inc case","quantile",0.025,1557,"2021-08-14","2021-08-02"
"GM","2 wk ahead inc case","quantile",0.25,10446,"2021-08-14","2021-08-02"
"GM","2 wk ahead inc case","quantile",0.75,27755,"2021-08-14","2021-08-02"
"GM","2 wk ahead inc case","quantile",0.975,145415,"2021-08-14","2021-08-02"
