"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc death","point",NA,1243,"2022-03-19","2022-03-14"
"GM","1 wk ahead inc death","quantile",0.025,367,"2022-03-19","2022-03-14"
"GM","1 wk ahead inc death","quantile",0.25,957,"2022-03-19","2022-03-14"
"GM","1 wk ahead inc death","quantile",0.75,1580,"2022-03-19","2022-03-14"
"GM","1 wk ahead inc death","quantile",0.975,4534,"2022-03-19","2022-03-14"
"GM","2 wk ahead inc death","point",NA,1113,"2022-03-26","2022-03-14"
"GM","2 wk ahead inc death","quantile",0.025,92,"2022-03-26","2022-03-14"
"GM","2 wk ahead inc death","quantile",0.25,620,"2022-03-26","2022-03-14"
"GM","2 wk ahead inc death","quantile",0.75,1647,"2022-03-26","2022-03-14"
"GM","2 wk ahead inc death","quantile",0.975,8629,"2022-03-26","2022-03-14"
