"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc case","point",NA,1363192,"2022-02-12","2022-02-07"
"GM","1 wk ahead inc case","quantile",0.025,402142,"2022-02-12","2022-02-07"
"GM","1 wk ahead inc case","quantile",0.25,1049658,"2022-02-12","2022-02-07"
"GM","1 wk ahead inc case","quantile",0.75,1732617,"2022-02-12","2022-02-07"
"GM","1 wk ahead inc case","quantile",0.975,4971560,"2022-02-12","2022-02-07"
"GM","2 wk ahead inc case","point",NA,1221769,"2022-02-19","2022-02-07"
"GM","2 wk ahead inc case","quantile",0.025,101407,"2022-02-19","2022-02-07"
"GM","2 wk ahead inc case","quantile",0.25,680525,"2022-02-19","2022-02-07"
"GM","2 wk ahead inc case","quantile",0.75,1808217,"2022-02-19","2022-02-07"
"GM","2 wk ahead inc case","quantile",0.975,9473594,"2022-02-19","2022-02-07"
