"target","location","model","inverse_wis_weight"
"inc case","GM01","FIAS_FZJ-Epi1Ger",0.303455289450197
"inc case","GM01","USC-SIkJalpha",0.123823867799766
"inc case","GM01","ITWW-county_repro",0.349813988695112
"inc case","GM01","CovidMetrics-epiBATS",0.222906854054924
"inc case","GM02","FIAS_FZJ-Epi1Ger",0.31674968805903
"inc case","GM02","USC-SIkJalpha",0.126128968830113
"inc case","GM02","ITWW-county_repro",0.40771709890944
"inc case","GM02","CovidMetrics-epiBATS",0.149404244201417
"inc case","GM03","FIAS_FZJ-Epi1Ger",0.260697145715682
"inc case","GM03","USC-SIkJalpha",0.231036032434908
"inc case","GM03","ITWW-county_repro",0.183795168808986
"inc case","GM03","CovidMetrics-epiBATS",0.324471653040424
"inc case","GM04","FIAS_FZJ-Epi1Ger",0.15878167682767
"inc case","GM04","USC-SIkJalpha",0.311662325418535
"inc case","GM04","ITWW-county_repro",0.186680300078295
"inc case","GM04","CovidMetrics-epiBATS",0.342875697675499
"inc case","GM05","FIAS_FZJ-Epi1Ger",0.257781271507275
"inc case","GM05","USC-SIkJalpha",0.207163153470792
"inc case","GM05","ITWW-county_repro",0.290740130603134
"inc case","GM05","CovidMetrics-epiBATS",0.2443154444188
"inc case","GM06","FIAS_FZJ-Epi1Ger",0.304498478361435
"inc case","GM06","USC-SIkJalpha",0.233113056550806
"inc case","GM06","ITWW-county_repro",0.21513250619046
"inc case","GM06","CovidMetrics-epiBATS",0.247255958897299
"inc case","GM07","FIAS_FZJ-Epi1Ger",0.254413790262332
"inc case","GM07","USC-SIkJalpha",0.251324757724471
"inc case","GM07","ITWW-county_repro",0.259747774935
"inc case","GM07","CovidMetrics-epiBATS",0.234513677078197
"inc case","GM08","FIAS_FZJ-Epi1Ger",0.176337048924561
"inc case","GM08","USC-SIkJalpha",0.1636625467618
"inc case","GM08","ITWW-county_repro",0.303090130927206
"inc case","GM08","CovidMetrics-epiBATS",0.356910273386434
"inc case","GM09","FIAS_FZJ-Epi1Ger",0.177319269119101
"inc case","GM09","USC-SIkJalpha",0.197385320859917
"inc case","GM09","ITWW-county_repro",0.273649660861166
"inc case","GM09","CovidMetrics-epiBATS",0.351645749159816
"inc case","GM10","FIAS_FZJ-Epi1Ger",0.232069386644286
"inc case","GM10","USC-SIkJalpha",0.227482683178205
"inc case","GM10","ITWW-county_repro",0.293376328000908
"inc case","GM10","CovidMetrics-epiBATS",0.247071602176601
"inc case","GM11","FIAS_FZJ-Epi1Ger",0.343395378350011
"inc case","GM11","USC-SIkJalpha",0.131238531618336
"inc case","GM11","ITWW-county_repro",0.335871203749706
"inc case","GM11","CovidMetrics-epiBATS",0.189494886281947
"inc case","GM12","FIAS_FZJ-Epi1Ger",0.126894894906053
"inc case","GM12","USC-SIkJalpha",0.291109246668872
"inc case","GM12","ITWW-county_repro",0.158170316782136
"inc case","GM12","CovidMetrics-epiBATS",0.423825541642939
"inc case","GM13","FIAS_FZJ-Epi1Ger",0.17189261560603
"inc case","GM13","USC-SIkJalpha",0.19695821500513
"inc case","GM13","ITWW-county_repro",0.382727086625318
"inc case","GM13","CovidMetrics-epiBATS",0.248422082763523
"inc case","GM14","FIAS_FZJ-Epi1Ger",0.450982045498293
"inc case","GM14","USC-SIkJalpha",0.0908112977544715
"inc case","GM14","ITWW-county_repro",0.309360329028243
"inc case","GM14","CovidMetrics-epiBATS",0.148846327718993
"inc case","GM15","FIAS_FZJ-Epi1Ger",0.425749156660444
"inc case","GM15","USC-SIkJalpha",0.121100482461512
"inc case","GM15","ITWW-county_repro",0.333610943671233
"inc case","GM15","CovidMetrics-epiBATS",0.119539417206812
