"target","location","model","inverse_wis_weight"
"inc case","GM01","FIAS_FZJ-Epi1Ger",0.195083727328957
"inc case","GM01","ITWW-county_repro",0.422743064220339
"inc case","GM01","CovidMetrics-epiBATS",0.213037096874736
"inc case","GM01","HKUST-DNN_DA",0.169136111575967
"inc case","GM02","FIAS_FZJ-Epi1Ger",0.251613244528502
"inc case","GM02","ITWW-county_repro",0.464186067921499
"inc case","GM02","CovidMetrics-epiBATS",0.142625050727691
"inc case","GM02","HKUST-DNN_DA",0.141575636822308
"inc case","GM03","FIAS_FZJ-Epi1Ger",0.222969692733493
"inc case","GM03","ITWW-county_repro",0.336955613984185
"inc case","GM03","CovidMetrics-epiBATS",0.265165922610476
"inc case","GM03","HKUST-DNN_DA",0.174908770671845
"inc case","GM04","FIAS_FZJ-Epi1Ger",0.339836255621725
"inc case","GM04","ITWW-county_repro",0.210602917622688
"inc case","GM04","CovidMetrics-epiBATS",0.283037825641277
"inc case","GM04","HKUST-DNN_DA",0.16652300111431
"inc case","GM05","FIAS_FZJ-Epi1Ger",0.131224287959377
"inc case","GM05","ITWW-county_repro",0.371005819120435
"inc case","GM05","CovidMetrics-epiBATS",0.364101856373074
"inc case","GM05","HKUST-DNN_DA",0.133668036547114
"inc case","GM06","FIAS_FZJ-Epi1Ger",0.181927689806983
"inc case","GM06","ITWW-county_repro",0.536984415676954
"inc case","GM06","CovidMetrics-epiBATS",0.14553231412083
"inc case","GM06","HKUST-DNN_DA",0.135555580395233
"inc case","GM07","FIAS_FZJ-Epi1Ger",0.130615408659569
"inc case","GM07","ITWW-county_repro",0.372772138192075
"inc case","GM07","CovidMetrics-epiBATS",0.361286368239338
"inc case","GM07","HKUST-DNN_DA",0.135326084909018
"inc case","GM08","FIAS_FZJ-Epi1Ger",0.208732987089219
"inc case","GM08","ITWW-county_repro",0.495137777121527
"inc case","GM08","CovidMetrics-epiBATS",0.145038121358408
"inc case","GM08","HKUST-DNN_DA",0.151091114430847
"inc case","GM09","FIAS_FZJ-Epi1Ger",0.422169009437525
"inc case","GM09","ITWW-county_repro",0.388258293838192
"inc case","GM09","CovidMetrics-epiBATS",0.0927470145744161
"inc case","GM09","HKUST-DNN_DA",0.0968256821498666
"inc case","GM10","FIAS_FZJ-Epi1Ger",0.0390946711112188
"inc case","GM10","ITWW-county_repro",0.664615171247938
"inc case","GM10","CovidMetrics-epiBATS",0.259189196759848
"inc case","GM10","HKUST-DNN_DA",0.0371009608809953
"inc case","GM11","FIAS_FZJ-Epi1Ger",0.404799162085499
"inc case","GM11","ITWW-county_repro",0.384651509315259
"inc case","GM11","CovidMetrics-epiBATS",0.102341395282866
"inc case","GM11","HKUST-DNN_DA",0.108207933316375
"inc case","GM12","FIAS_FZJ-Epi1Ger",0.130738630872366
"inc case","GM12","ITWW-county_repro",0.64645066146877
"inc case","GM12","CovidMetrics-epiBATS",0.121023494527509
"inc case","GM12","HKUST-DNN_DA",0.101787213131355
"inc case","GM13","FIAS_FZJ-Epi1Ger",0.25365644605071
"inc case","GM13","ITWW-county_repro",0.415877528548612
"inc case","GM13","CovidMetrics-epiBATS",0.174049360686907
"inc case","GM13","HKUST-DNN_DA",0.156416664713772
"inc case","GM14","FIAS_FZJ-Epi1Ger",0.580074629761814
"inc case","GM14","ITWW-county_repro",0.23908987447626
"inc case","GM14","CovidMetrics-epiBATS",0.0883584176671811
"inc case","GM14","HKUST-DNN_DA",0.0924770780947454
"inc case","GM15","FIAS_FZJ-Epi1Ger",0.138838944161438
"inc case","GM15","ITWW-county_repro",0.42349448925576
"inc case","GM15","CovidMetrics-epiBATS",0.304301456757064
"inc case","GM15","HKUST-DNN_DA",0.133365109825738
"inc case","GM16","FIAS_FZJ-Epi1Ger",0.382405213428371
"inc case","GM16","ITWW-county_repro",0.389666867644853
"inc case","GM16","CovidMetrics-epiBATS",0.112806682378188
"inc case","GM16","HKUST-DNN_DA",0.115121236548588
"cum case","GM01","FIAS_FZJ-Epi1Ger",0.211357298481682
"cum case","GM01","ITWW-county_repro",0.500226961235876
"cum case","GM01","CovidMetrics-epiBATS",0.288415740282443
"cum case","GM02","FIAS_FZJ-Epi1Ger",0.23935346752297
"cum case","GM02","ITWW-county_repro",0.575846959161647
"cum case","GM02","CovidMetrics-epiBATS",0.184799573315383
"cum case","GM03","FIAS_FZJ-Epi1Ger",0.214800346447281
"cum case","GM03","ITWW-county_repro",0.334134211060483
"cum case","GM03","CovidMetrics-epiBATS",0.451065442492236
"cum case","GM04","FIAS_FZJ-Epi1Ger",0.233787721576998
"cum case","GM04","ITWW-county_repro",0.294602585032379
"cum case","GM04","CovidMetrics-epiBATS",0.471609693390623
"cum case","GM05","FIAS_FZJ-Epi1Ger",0.126775168593472
"cum case","GM05","ITWW-county_repro",0.352991572410984
"cum case","GM05","CovidMetrics-epiBATS",0.520233258995544
