"target","location","model","inverse_wis_weight"
"inc case","GM01","FIAS_FZJ-Epi1Ger",0.196248746107955
"inc case","GM01","USC-SIkJalpha",0.168138482619514
"inc case","GM01","ITWW-county_repro",0.140369923809915
"inc case","GM01","epiforecasts-EpiNow2",0.174937879264898
"inc case","GM01","KIT-time_series_baseline",0.182846832410362
"inc case","GM01","Karlen-pypm",0.137458135787356
"inc case","GM02","FIAS_FZJ-Epi1Ger",0.233290770234282
"inc case","GM02","USC-SIkJalpha",0.115592181768889
"inc case","GM02","ITWW-county_repro",0.125912699407161
"inc case","GM02","epiforecasts-EpiNow2",0.228963836365376
"inc case","GM02","KIT-time_series_baseline",0.200347684013967
"inc case","GM02","Karlen-pypm",0.0958928282103247
"inc case","GM03","FIAS_FZJ-Epi1Ger",0.116260536256729
"inc case","GM03","USC-SIkJalpha",0.159468813065924
"inc case","GM03","ITWW-county_repro",0.223067349627911
"inc case","GM03","epiforecasts-EpiNow2",0.15062075459098
"inc case","GM03","KIT-time_series_baseline",0.102121385583971
"inc case","GM03","Karlen-pypm",0.248461160874484
"inc case","GM04","FIAS_FZJ-Epi1Ger",0.117754783225573
"inc case","GM04","USC-SIkJalpha",0.216416222628046
"inc case","GM04","ITWW-county_repro",0.208063858890661
"inc case","GM04","epiforecasts-EpiNow2",0.165884556964524
"inc case","GM04","KIT-time_series_baseline",0.150753723466372
"inc case","GM04","Karlen-pypm",0.141126854824825
"inc case","GM05","FIAS_FZJ-Epi1Ger",0.102593205954764
"inc case","GM05","USC-SIkJalpha",0.171030620791066
"inc case","GM05","ITWW-county_repro",0.16054945361125
"inc case","GM05","epiforecasts-EpiNow2",0.179503898131953
"inc case","GM05","KIT-time_series_baseline",0.170533227052697
"inc case","GM05","Karlen-pypm",0.21578959445827
"inc case","GM06","FIAS_FZJ-Epi1Ger",0.187246960956014
"inc case","GM06","USC-SIkJalpha",0.244840562118324
"inc case","GM06","ITWW-county_repro",0.151709362073993
"inc case","GM06","epiforecasts-EpiNow2",0.13059330786539
"inc case","GM06","KIT-time_series_baseline",0.0937402668029555
"inc case","GM06","Karlen-pypm",0.191869540183324
"inc case","GM07","FIAS_FZJ-Epi1Ger",0.262395637924947
"inc case","GM07","USC-SIkJalpha",0.134244433793922
"inc case","GM07","ITWW-county_repro",0.123536400676793
"inc case","GM07","epiforecasts-EpiNow2",0.17703736447668
"inc case","GM07","KIT-time_series_baseline",0.162902836438241
"inc case","GM07","Karlen-pypm",0.139883326689418
"inc case","GM08","FIAS_FZJ-Epi1Ger",0.215618956741545
"inc case","GM08","USC-SIkJalpha",0.139481974097268
"inc case","GM08","ITWW-county_repro",0.186395211674121
"inc case","GM08","epiforecasts-EpiNow2",0.118739926913885
"inc case","GM08","KIT-time_series_baseline",0.0732571583088967
"inc case","GM08","Karlen-pypm",0.266506772264284
"inc case","GM09","FIAS_FZJ-Epi1Ger",0.169955402288076
"inc case","GM09","USC-SIkJalpha",0.151947630051834
"inc case","GM09","ITWW-county_repro",0.152865157291054
"inc case","GM09","epiforecasts-EpiNow2",0.116168678884421
"inc case","GM09","KIT-time_series_baseline",0.0840759027255306
"inc case","GM09","Karlen-pypm",0.324987228759085
"inc case","GM10","FIAS_FZJ-Epi1Ger",0.420731452741288
"inc case","GM10","USC-SIkJalpha",0.139744190544002
