"target","location","model","inverse_wis_weight"
"inc case","GM01","FIAS_FZJ-Epi1Ger",0.16006586061313
"inc case","GM01","USC-SIkJalpha",0.157043010379759
"inc case","GM01","ITWW-county_repro",0.222190553826462
"inc case","GM01","epiforecasts-EpiNow2",0.126273668887649
"inc case","GM01","CovidMetrics-epiBATS",0.334426906293
"inc case","GM02","FIAS_FZJ-Epi1Ger",0.115750593797505
"inc case","GM02","USC-SIkJalpha",0.210872610233364
"inc case","GM02","ITWW-county_repro",0.232479928796317
"inc case","GM02","epiforecasts-EpiNow2",0.21006598999389
"inc case","GM02","CovidMetrics-epiBATS",0.230830877178925
"inc case","GM03","FIAS_FZJ-Epi1Ger",0.158563866221104
"inc case","GM03","USC-SIkJalpha",0.173372592816561
"inc case","GM03","ITWW-county_repro",0.110733492685374
"inc case","GM03","epiforecasts-EpiNow2",0.310143725163516
"inc case","GM03","CovidMetrics-epiBATS",0.247186323113444
"inc case","GM04","FIAS_FZJ-Epi1Ger",0.109721943324825
"inc case","GM04","USC-SIkJalpha",0.263929247229854
"inc case","GM04","ITWW-county_repro",0.134328090553331
"inc case","GM04","epiforecasts-EpiNow2",0.230247035695777
"inc case","GM04","CovidMetrics-epiBATS",0.261773683196213
"inc case","GM05","FIAS_FZJ-Epi1Ger",0.324682148527254
"inc case","GM05","USC-SIkJalpha",0.138027051305315
"inc case","GM05","ITWW-county_repro",0.181841648302714
"inc case","GM05","epiforecasts-EpiNow2",0.148990965364409
"inc case","GM05","CovidMetrics-epiBATS",0.206458186500308
"inc case","GM06","FIAS_FZJ-Epi1Ger",0.188557538089284
"inc case","GM06","USC-SIkJalpha",0.182486752091895
"inc case","GM06","ITWW-county_repro",0.239622308155654
"inc case","GM06","epiforecasts-EpiNow2",0.121162455763096
"inc case","GM06","CovidMetrics-epiBATS",0.268170945900071
"inc case","GM07","FIAS_FZJ-Epi1Ger",0.153505514015807
"inc case","GM07","USC-SIkJalpha",0.201974935858152
"inc case","GM07","ITWW-county_repro",0.255665992031193
"inc case","GM07","epiforecasts-EpiNow2",0.178849279464058
"inc case","GM07","CovidMetrics-epiBATS",0.21000427863079
"inc case","GM08","FIAS_FZJ-Epi1Ger",0.148413355993993
"inc case","GM08","USC-SIkJalpha",0.15566856434724
"inc case","GM08","ITWW-county_repro",0.191310305131602
"inc case","GM08","epiforecasts-EpiNow2",0.176201826399901
"inc case","GM08","CovidMetrics-epiBATS",0.328405948127265
"inc case","GM09","FIAS_FZJ-Epi1Ger",0.182551000528285
"inc case","GM09","USC-SIkJalpha",0.193067452385873
"inc case","GM09","ITWW-county_repro",0.225644358216656
"inc case","GM09","epiforecasts-EpiNow2",0.16727485314344
"inc case","GM09","CovidMetrics-epiBATS",0.231462335725746
"inc case","GM10","FIAS_FZJ-Epi1Ger",0.104194820610661
"inc case","GM10","USC-SIkJalpha",0.242262044121327
"inc case","GM10","ITWW-county_repro",0.227358117040494
"inc case","GM10","epiforecasts-EpiNow2",0.132453756700591
"inc case","GM10","CovidMetrics-epiBATS",0.293731261526928
"inc case","GM11","FIAS_FZJ-Epi1Ger",0.138419760268648
"inc case","GM11","USC-SIkJalpha",0.168385469130726
"inc case","GM11","ITWW-county_repro",0.276477995005634
