target,forecast_date,target_end_date,location,type,quantile,value
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.01,52012.8
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.025,53698.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.05,55082.0
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.1,55878.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.15,57567.5
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.2,58598.1
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.25,58950.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.3,59636.5
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.35,60291.8
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.4,60336.7
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.45,60384.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.5,60714.5
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.55,61001.5
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.6,61390.7
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.65,61645.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.7,61786.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.75,61895.6
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.8,62609.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.85,63550.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.9,64309.0
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.95,66365.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.975,67549.5
1 wk ahead inc case,2021-11-29,2021-12-04,GM01,quantile,0.99,69813.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.01,80077.1
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.025,82033.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.05,83718.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.1,84610.9
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.15,86641.0
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.2,87998.7
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.25,88365.8
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.3,89182.1
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.35,89968.8
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.4,89987.6
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.45,90121.8
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.5,90472.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.55,90801.0
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.6,91298.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.65,91575.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.7,91820.9
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.75,91888.8
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.8,92720.5
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.85,93933.1
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.9,94787.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.95,97326.8
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.975,98688.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM02,quantile,0.99,101429.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.01,1052.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.025,1160.0
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.05,1237.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.1,1290.9
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.15,1385.9
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.2,1435.0
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.25,1462.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.3,1498.5
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.35,1537.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.4,1538.7
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.45,1545.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.5,1567.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.55,1580.6
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.6,1597.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.65,1618.6
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.7,1618.9
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.75,1636.1
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.8,1677.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.85,1725.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.9,1776.6
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.95,1882.1
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.975,1964.9
1 wk ahead inc case,2021-11-29,2021-12-04,GM03,quantile,0.99,2096.8
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.01,3493.5
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.025,3780.5
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.05,3996.8
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.1,4136.6
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.15,4396.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.2,4538.1
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.25,4609.9
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.3,4710.5
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.35,4817.1
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.4,4818.8
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.45,4838.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.5,4896.9
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.55,4935.5
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.6,4981.8
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.65,5038.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.7,5039.6
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.75,5087.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.8,5200.6
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.85,5336.6
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.9,5473.6
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.95,5767.1
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.975,5987.6
1 wk ahead inc case,2021-11-29,2021-12-04,GM04,quantile,0.99,6349.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.01,13753.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.025,14713.1
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.05,15467.1
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.1,15924.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.15,16822.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.2,17340.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.25,17576.7
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.3,17928.1
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.35,18293.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.4,18295.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.45,18362.8
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.5,18562.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.55,18697.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.6,18863.8
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.65,19046.0
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.7,19058.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.75,19215.9
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.8,19605.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.85,20079.8
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.9,20542.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.95,21572.5
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.975,22307.1
1 wk ahead inc case,2021-11-29,2021-12-04,GM05,quantile,0.99,23546.1
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.01,12740.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.025,13981.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.05,14908.7
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.1,15536.7
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.15,16634.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.2,17227.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.25,17527.1
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.3,17966.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.35,18410.1
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.4,18424.7
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.45,18516.8
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.5,18761.9
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.55,18930.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.6,19115.9
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.65,19357.7
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.7,19389.0
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.75,19584.6
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.8,20064.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.85,20619.5
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.9,21218.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.95,22469.8
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.975,23440.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM06,quantile,0.99,24983.8
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.01,39861.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.025,42641.5
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.05,44756.5
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.1,46107.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.15,48689.1
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.2,50102.0
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.25,50794.9
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.3,51788.7
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.35,52850.6
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.4,52857.1
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.45,53018.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.5,53595.8
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.55,53982.1
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.6,54463.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.65,54983.6
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.7,55034.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.75,55446.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.8,56557.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.85,57907.9
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.9,59227.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.95,62166.6
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.975,64256.8
1 wk ahead inc case,2021-11-29,2021-12-04,GM07,quantile,0.99,67799.6
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.01,10434.0
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.025,11061.5
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.05,11548.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.1,11858.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.15,12444.0
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.2,12786.0
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.25,12930.5
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.3,13172.3
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.35,13405.7
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.4,13415.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.45,13446.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.5,13574.7
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.55,13669.9
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.6,13784.7
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.65,13904.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.7,13911.5
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.75,13999.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.8,14255.6
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.85,14558.4
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.9,14859.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.95,15552.2
1 wk ahead inc case,2021-11-29,2021-12-04,GM08,quantile,0.975,16021.6
