date,location,location_name,age_group,value
2020-03-25,GM14,Sachsen-Anhalt State,A35-A59,21
2020-03-25,GM14,Sachsen-Anhalt State,A60-A79,12
2020-03-25,GM14,Sachsen-Anhalt State,A80+,5
2020-03-25,GM14,Sachsen-Anhalt State,unbekannt,0
2020-03-25,GM15,Free State of Thüringia,A00-A04,0
2020-03-25,GM15,Free State of Thüringia,A05-A14,2
2020-03-25,GM15,Free State of Thüringia,A15-A34,13
2020-03-25,GM15,Free State of Thüringia,A35-A59,35
2020-03-25,GM15,Free State of Thüringia,A60-A79,14
2020-03-25,GM15,Free State of Thüringia,A80+,4
2020-03-25,GM16,Berlin State,A00-A04,1
2020-03-25,GM16,Berlin State,A05-A14,3
2020-03-25,GM16,Berlin State,A15-A34,77
2020-03-25,GM16,Berlin State,A35-A59,96
2020-03-25,GM16,Berlin State,A60-A79,26
2020-03-25,GM16,Berlin State,A80+,5
2020-03-25,GM16,Berlin State,unbekannt,0
2020-03-26,GM,Germany,A00-A04,0
2020-03-26,GM,Germany,A05-A14,0
2020-03-26,GM,Germany,A15-A34,0
2020-03-26,GM,Germany,A35-A59,0
2020-03-26,GM,Germany,A60-A79,0
2020-03-26,GM,Germany,A80+,0
2020-03-26,GM,Germany,unbekannt,0
2020-03-26,GM01,Baden-Württemberg State,A00-A04,0
2020-03-26,GM01,Baden-Württemberg State,A05-A14,0
2020-03-26,GM01,Baden-Württemberg State,A15-A34,0
2020-03-26,GM01,Baden-Württemberg State,A35-A59,0
2020-03-26,GM01,Baden-Württemberg State,A60-A79,0
2020-03-26,GM01,Baden-Württemberg State,A80+,0
2020-03-26,GM01,Baden-Württemberg State,unbekannt,0
2020-03-26,GM02,Free State of Bavaria,A00-A04,0
2020-03-26,GM02,Free State of Bavaria,A05-A14,0
2020-03-26,GM02,Free State of Bavaria,A15-A34,0
2020-03-26,GM02,Free State of Bavaria,A35-A59,0
2020-03-26,GM02,Free State of Bavaria,A60-A79,0
2020-03-26,GM02,Free State of Bavaria,A80+,0
2020-03-26,GM02,Free State of Bavaria,unbekannt,0
2020-03-26,GM03,Free Hanseatic City of Bremen,A05-A14,0
2020-03-26,GM03,Free Hanseatic City of Bremen,A15-A34,0
2020-03-26,GM03,Free Hanseatic City of Bremen,A35-A59,0
2020-03-26,GM03,Free Hanseatic City of Bremen,A60-A79,0
2020-03-26,GM03,Free Hanseatic City of Bremen,A80+,0
2020-03-26,GM03,Free Hanseatic City of Bremen,unbekannt,0
2020-03-26,GM04,Free Hanseatic City of Hamburg,A00-A04,0
2020-03-26,GM04,Free Hanseatic City of Hamburg,A05-A14,0
2020-03-26,GM04,Free Hanseatic City of Hamburg,A15-A34,0
2020-03-26,GM04,Free Hanseatic City of Hamburg,A35-A59,0
2020-03-26,GM04,Free Hanseatic City of Hamburg,A60-A79,0
2020-03-26,GM04,Free Hanseatic City of Hamburg,A80+,0
2020-03-26,GM04,Free Hanseatic City of Hamburg,unbekannt,0
2020-03-26,GM05,Hesse State,A00-A04,0
2020-03-26,GM05,Hesse State,A05-A14,0
