date,location,location_name,age_group,value
2020-03-24,GM14,Sachsen-Anhalt State,A35-A59,164
2020-03-24,GM14,Sachsen-Anhalt State,A60-A79,54
2020-03-24,GM14,Sachsen-Anhalt State,A80+,13
2020-03-24,GM14,Sachsen-Anhalt State,unbekannt,1
2020-03-24,GM15,Free State of Thüringia,A00-A04,2
2020-03-24,GM15,Free State of Thüringia,A05-A14,10
2020-03-24,GM15,Free State of Thüringia,A15-A34,91
2020-03-24,GM15,Free State of Thüringia,A35-A59,172
2020-03-24,GM15,Free State of Thüringia,A60-A79,43
2020-03-24,GM15,Free State of Thüringia,A80+,8
2020-03-24,GM15,Free State of Thüringia,unbekannt,1
2020-03-24,GM16,Berlin State,A00-A04,14
2020-03-24,GM16,Berlin State,A05-A14,47
2020-03-24,GM16,Berlin State,A15-A34,456
2020-03-24,GM16,Berlin State,A35-A59,566
2020-03-24,GM16,Berlin State,A60-A79,115
2020-03-24,GM16,Berlin State,A80+,16
2020-03-24,GM16,Berlin State,unbekannt,6
2020-03-25,GM,Germany,A00-A04,234
2020-03-25,GM,Germany,A05-A14,651
2020-03-25,GM,Germany,A15-A34,8304
2020-03-25,GM,Germany,A35-A59,16103
2020-03-25,GM,Germany,A60-A79,5092
2020-03-25,GM,Germany,A80+,1037
2020-03-25,GM,Germany,unbekannt,133
2020-03-25,GM01,Baden-Württemberg State,A00-A04,48
2020-03-25,GM01,Baden-Württemberg State,A05-A14,134
2020-03-25,GM01,Baden-Württemberg State,A15-A34,1600
2020-03-25,GM01,Baden-Württemberg State,A35-A59,2957
2020-03-25,GM01,Baden-Württemberg State,A60-A79,1068
2020-03-25,GM01,Baden-Württemberg State,A80+,244
2020-03-25,GM01,Baden-Württemberg State,unbekannt,18
2020-03-25,GM02,Free State of Bavaria,A00-A04,70
2020-03-25,GM02,Free State of Bavaria,A05-A14,206
2020-03-25,GM02,Free State of Bavaria,A15-A34,1710
2020-03-25,GM02,Free State of Bavaria,A35-A59,3208
2020-03-25,GM02,Free State of Bavaria,A60-A79,1034
2020-03-25,GM02,Free State of Bavaria,A80+,293
2020-03-25,GM02,Free State of Bavaria,unbekannt,37
2020-03-25,GM03,Free Hanseatic City of Bremen,A05-A14,1
2020-03-25,GM03,Free Hanseatic City of Bremen,A15-A34,56
2020-03-25,GM03,Free Hanseatic City of Bremen,A35-A59,94
2020-03-25,GM03,Free Hanseatic City of Bremen,A60-A79,41
2020-03-25,GM03,Free Hanseatic City of Bremen,A80+,6
2020-03-25,GM03,Free Hanseatic City of Bremen,unbekannt,2
2020-03-25,GM04,Free Hanseatic City of Hamburg,A00-A04,11
2020-03-25,GM04,Free Hanseatic City of Hamburg,A05-A14,43
2020-03-25,GM04,Free Hanseatic City of Hamburg,A15-A34,449
2020-03-25,GM04,Free Hanseatic City of Hamburg,A35-A59,598
2020-03-25,GM04,Free Hanseatic City of Hamburg,A60-A79,141
2020-03-25,GM04,Free Hanseatic City of Hamburg,A80+,16
2020-03-25,GM04,Free Hanseatic City of Hamburg,unbekannt,4
2020-03-25,GM05,Hesse State,A00-A04,7
2020-03-25,GM05,Hesse State,A05-A14,25
2020-03-25,GM05,Hesse State,A15-A34,420
2020-03-25,GM05,Hesse State,A35-A59,1006
2020-03-25,GM05,Hesse State,A60-A79,262
2020-03-25,GM05,Hesse State,A80+,24
