"location","forecast_date","target_end_date","target","type","quantile","value"
"GM","2022-04-03","2022-04-23","3 wk ahead inc case","quantile",0.9,3352464
"GM","2022-04-03","2022-04-23","3 wk ahead inc case","quantile",0.95,3863007
"GM","2022-04-03","2022-04-23","3 wk ahead inc case","quantile",0.975,4451306
"GM","2022-04-03","2022-04-23","3 wk ahead inc case","quantile",0.99,5129207
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","point",NA,1738829
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.01,382382
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.025,463604
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.05,562119
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.1,681615
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.15,773769
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.2,878405
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.25,997216
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.3,1132126
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.35,1254248
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.4,1389549
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.45,1539450
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.5,1738829
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.55,1889529
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.6,2093389
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.65,2319251
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.7,2569491
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.75,2831059
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.8,3119290
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.85,3436905
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.9,3786904
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.95,4280454
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.975,4838877
"GM","2022-04-03","2022-04-30","4 wk ahead inc case","quantile",0.99,5470768
