"location","forecast_date","target_end_date","target","type","quantile","value"
"GM","2021-11-21","2021-11-27","1 wk ahead inc death","point",NA,261
"GM","2021-11-21","2021-12-04","2 wk ahead inc death","point",NA,266
"GM","2021-11-21","2021-12-11","3 wk ahead inc death","point",NA,274
"GM","2021-11-21","2021-12-18","4 wk ahead inc death","point",NA,290
"GM","2021-11-21","2021-12-25","5 wk ahead inc death","point",NA,322
"GM","2021-11-21","2022-01-01","6 wk ahead inc death","point",NA,374
"GM","2021-11-21","2022-01-08","7 wk ahead inc death","point",NA,452
"GM","2021-11-21","2022-01-15","8 wk ahead inc death","point",NA,566
"GM","2021-11-21","2022-01-22","9 wk ahead inc death","point",NA,727
"GM","2021-11-21","2022-01-29","10 wk ahead inc death","point",NA,956
"GM","2021-11-21","2022-02-05","11 wk ahead inc death","point",NA,1241
"GM","2021-11-21","2022-02-12","12 wk ahead inc death","point",NA,1508
"GM","2021-11-21","2022-02-19","13 wk ahead inc death","point",NA,1646
"GM","2021-11-21","2022-02-26","14 wk ahead inc death","point",NA,1604
"GM","2021-11-21","2022-03-05","15 wk ahead inc death","point",NA,1399
"GM","2021-11-21","2022-03-12","16 wk ahead inc death","point",NA,1090
"GM","2021-11-21","2022-03-19","17 wk ahead inc death","point",NA,778
"GM","2021-11-21","2022-03-26","18 wk ahead inc death","point",NA,525
"GM","2021-11-21","2022-04-02","19 wk ahead inc death","point",NA,335
