"location","forecast_date","target_end_date","target","type","quantile","value"
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","point",NA,3191
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.01,1756
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.025,1907
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.05,2073
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.1,2254
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.15,2367
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.2,2487
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.25,2614
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.3,2748
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.35,2851
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.4,2960
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.45,3073
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.5,3191
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.55,3317
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.6,3448
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.65,3584
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.7,3728
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.75,3931
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.8,4148
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.85,4377
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.9,4621
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.95,5066
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.975,5557
"PL","2022-05-08","2022-05-14","1 wk ahead inc case","quantile",0.99,6098
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","point",NA,2393
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.01,888
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.025,1008
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.05,1144
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.1,1298
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.15,1409
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.2,1530
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.25,1661
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.3,1804
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.35,1937
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.4,2081
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.45,2234
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.5,2393
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.55,2578
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.6,2769
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.65,2975
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.7,3197
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.75,3490
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.8,3811
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.85,4161
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.9,4544
"PL","2022-05-08","2022-05-21","2 wk ahead inc case","quantile",0.95,5220
