"location","forecast_date","target_end_date","target","type","quantile","value"
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","point",NA,534691
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.01,291226
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.025,316700
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.05,344599
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.1,375170
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.15,394371
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.2,414686
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.25,436184
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.3,458938
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.35,476617
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.4,495128
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.45,514513
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.5,534691
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.55,556086
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.6,578367
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.65,601713
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.7,626177
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.75,660818
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.8,697568
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.85,736563
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.9,777945
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.95,853379
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.975,936560
"GM","2022-05-01","2022-05-07","1 wk ahead inc case","quantile",0.99,1028311
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","point",NA,463499
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.01,171895
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.025,195129
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.05,221533
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.1,251542
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.15,273117
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.2,296565
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.25,322050
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.3,349753
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.35,375433
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.4,403030
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.45,432690
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.5,463499
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.55,498838
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.6,535677
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.65,575282
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.7,617865
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.75,673799
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.8,734856
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.85,801510
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.9,874280
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.95,1001980
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.975,1148491
"GM","2022-05-01","2022-05-14","2 wk ahead inc case","quantile",0.99,1316609
"GM","2022-05-01","2022-05-21","3 wk ahead inc case","point",NA,400214
"GM","2022-05-01","2022-05-21","3 wk ahead inc case","quantile",0.01,104288
"GM","2022-05-01","2022-05-21","3 wk ahead inc case","quantile",0.025,123084
"GM","2022-05-01","2022-05-21","3 wk ahead inc case","quantile",0.05,145285
"GM","2022-05-01","2022-05-21","3 wk ahead inc case","quantile",0.1,171510
"GM","2022-05-01","2022-05-21","3 wk ahead inc case","quantile",0.15,191793
"GM","2022-05-01","2022-05-21","3 wk ahead inc case","quantile",0.2,214490
"GM","2022-05-01","2022-05-21","3 wk ahead inc case","quantile",0.25,239888
"GM","2022-05-01","2022-05-21","3 wk ahead inc case","quantile",0.3,268311
