"location","forecast_date","target_end_date","target","type","quantile","value"
"GM","2022-01-16","2022-01-22","1 wk ahead inc death","point",NA,141
"GM","2022-01-16","2022-01-29","2 wk ahead inc death","point",NA,151
"GM","2022-01-16","2022-02-05","3 wk ahead inc death","point",NA,170
"GM","2022-01-16","2022-02-12","4 wk ahead inc death","point",NA,200
"GM","2022-01-16","2022-02-19","5 wk ahead inc death","point",NA,242
"GM","2022-01-16","2022-02-26","6 wk ahead inc death","point",NA,299
"GM","2022-01-16","2022-03-05","7 wk ahead inc death","point",NA,373
"GM","2022-01-16","2022-03-12","8 wk ahead inc death","point",NA,465
"GM","2022-01-16","2022-03-19","9 wk ahead inc death","point",NA,573
"GM","2022-01-16","2022-03-26","10 wk ahead inc death","point",NA,691
"GM","2022-01-16","2022-04-02","11 wk ahead inc death","point",NA,808
"GM","2022-01-16","2022-04-09","12 wk ahead inc death","point",NA,910
"GM","2022-01-16","2022-04-16","13 wk ahead inc death","point",NA,981
"GM","2022-01-16","2022-04-23","14 wk ahead inc death","point",NA,1011
"GM","2022-01-16","2022-04-30","15 wk ahead inc death","point",NA,998
"GM","2022-01-16","2022-05-07","16 wk ahead inc death","point",NA,947
"GM","2022-01-16","2022-05-14","17 wk ahead inc death","point",NA,871
"GM","2022-01-16","2022-05-21","18 wk ahead inc death","point",NA,784
"GM","2022-01-16","2022-05-28","19 wk ahead inc death","point",NA,694
