"location","forecast_date","target_end_date","target","type","quantile","value"
"PL","2021-11-21","2021-11-27","1 wk ahead inc death","point",NA,490
"PL","2021-11-21","2021-12-04","2 wk ahead inc death","point",NA,556
"PL","2021-11-21","2021-12-11","3 wk ahead inc death","point",NA,649
"PL","2021-11-21","2021-12-18","4 wk ahead inc death","point",NA,781
"PL","2021-11-21","2021-12-25","5 wk ahead inc death","point",NA,959
"PL","2021-11-21","2022-01-01","6 wk ahead inc death","point",NA,1143
"PL","2021-11-21","2022-01-08","7 wk ahead inc death","point",NA,1230
"PL","2021-11-21","2022-01-15","8 wk ahead inc death","point",NA,1154
"PL","2021-11-21","2022-01-22","9 wk ahead inc death","point",NA,943
"PL","2021-11-21","2022-01-29","10 wk ahead inc death","point",NA,687
"PL","2021-11-21","2022-02-05","11 wk ahead inc death","point",NA,474
"PL","2021-11-21","2022-02-12","12 wk ahead inc death","point",NA,343
"PL","2021-11-21","2022-02-19","13 wk ahead inc death","point",NA,297
"PL","2021-11-21","2022-02-26","14 wk ahead inc death","point",NA,322
"PL","2021-11-21","2022-03-05","15 wk ahead inc death","point",NA,377
"PL","2021-11-21","2022-03-12","16 wk ahead inc death","point",NA,434
"PL","2021-11-21","2022-03-19","17 wk ahead inc death","point",NA,487
"PL","2021-11-21","2022-03-26","18 wk ahead inc death","point",NA,534
"PL","2021-11-21","2022-04-02","19 wk ahead inc death","point",NA,572
