target,forecast_date,target_end_date,location,type,quantile,value
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.975,192.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.99,271.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.01,7.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.025,14.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.05,35.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.1,47.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.15,61.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.2,69.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.25,88.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.3,99.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.35,120.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.4,134.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.45,142.4
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.5,154.4
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.55,166.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.6,180.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.65,197.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.7,220.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.75,229.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.8,255.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.85,279.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.9,323.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.95,403.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.975,533.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM04,quantile,0.99,749.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.01,5.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.025,17.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.05,56.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.1,72.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.15,109.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.2,129.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.25,185.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.3,215.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.35,251.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.4,301.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.45,326.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.5,357.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.55,392.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.6,443.4
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.65,499.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.7,577.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.75,608.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.8,705.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.85,777.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.9,923.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.95,1199.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.975,1635.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM05,quantile,0.99,2370.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.01,8.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.025,17.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.05,26.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.1,27.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.15,36.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.2,49.4
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.25,78.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM06,quantile,0.3,102.3
