date,location_name,location,value
2020-04-07,Mazowieckie,PL78,23.0
2020-04-07,Opolskie,PL79,2.0
2020-04-07,Podkarpackie,PL80,6.0
2020-04-07,Podlaskie,PL81,1.0
2020-04-07,Pomorskie,PL82,0.0
2020-04-07,Slaskie,PL83,25.0
2020-04-07,Swietokrzyskie,PL84,1.0
2020-04-07,Warminsko-Mazurskie,PL85,1.0
2020-04-07,Wielkopolskie,PL86,15.0
2020-04-07,Zachodniopomorskie,PL87,2.0
2020-04-07,Poland,PL,107.0
2020-04-08,Dolnoslaskie,PL72,14.0
2020-04-08,Kujawsko-Pomorskie,PL73,1.0
2020-04-08,Lubelskie,PL75,7.0
2020-04-08,Lubuskie,PL76,0.0
2020-04-08,Lodzkie,PL74,5.0
2020-04-08,Malopolskie,PL77,8.0
2020-04-08,Mazowieckie,PL78,25.0
2020-04-08,Opolskie,PL79,3.0
2020-04-08,Podkarpackie,PL80,7.0
2020-04-08,Podlaskie,PL81,1.0
2020-04-08,Pomorskie,PL82,0.0
2020-04-08,Slaskie,PL83,32.0
2020-04-08,Swietokrzyskie,PL84,1.0
2020-04-08,Warminsko-Mazurskie,PL85,1.0
2020-04-08,Wielkopolskie,PL86,22.0
2020-04-08,Zachodniopomorskie,PL87,2.0
2020-04-08,Poland,PL,129.0
2020-04-09,Dolnoslaskie,PL72,15.0
2020-04-09,Kujawsko-Pomorskie,PL73,5.0
2020-04-09,Lubelskie,PL75,8.0
2020-04-09,Lubuskie,PL76,0.0
2020-04-09,Lodzkie,PL74,5.0
2020-04-09,Malopolskie,PL77,8.0
2020-04-09,Mazowieckie,PL78,37.0
2020-04-09,Opolskie,PL79,5.0
2020-04-09,Podkarpackie,PL80,9.0
2020-04-09,Podlaskie,PL81,1.0
2020-04-09,Pomorskie,PL82,1.0
2020-04-09,Slaskie,PL83,36.0
2020-04-09,Swietokrzyskie,PL84,2.0
2020-04-09,Warminsko-Mazurskie,PL85,1.0
2020-04-09,Wielkopolskie,PL86,23.0
2020-04-09,Zachodniopomorskie,PL87,2.0
2020-04-09,Poland,PL,158.0
2020-04-10,Dolnoslaskie,PL72,18.0
2020-04-10,Kujawsko-Pomorskie,PL73,6.0
2020-04-10,Lubelskie,PL75,8.0
2020-04-10,Lubuskie,PL76,0.0
2020-04-10,Lodzkie,PL74,7.0
2020-04-10,Malopolskie,PL77,8.0
2020-04-10,Mazowieckie,PL78,42.0
2020-04-10,Opolskie,PL79,6.0
2020-04-10,Podkarpackie,PL80,10.0
2020-04-10,Podlaskie,PL81,1.0
2020-04-10,Pomorskie,PL82,1.0
2020-04-10,Slaskie,PL83,38.0
2020-04-10,Swietokrzyskie,PL84,2.0
2020-04-10,Warminsko-Mazurskie,PL85,1.0
2020-04-10,Wielkopolskie,PL86,24.0
2020-04-10,Zachodniopomorskie,PL87,2.0
2020-04-10,Poland,PL,174.0
2020-04-11,Dolnoslaskie,PL72,20.0
2020-04-11,Kujawsko-Pomorskie,PL73,7.0
2020-04-11,Lubelskie,PL75,9.0
2020-04-11,Lubuskie,PL76,0.0
2020-04-11,Lodzkie,PL74,7.0
2020-04-11,Malopolskie,PL77,9.0
2020-04-11,Mazowieckie,PL78,42.0
2020-04-11,Opolskie,PL79,6.0
2020-04-11,Podkarpackie,PL80,10.0
2020-04-11,Podlaskie,PL81,1.0
2020-04-11,Pomorskie,PL82,1.0
2020-04-11,Slaskie,PL83,38.0
2020-04-11,Swietokrzyskie,PL84,2.0
2020-04-11,Warminsko-Mazurskie,PL85,1.0
2020-04-11,Wielkopolskie,PL86,26.0
2020-04-11,Zachodniopomorskie,PL87,2.0
2020-04-11,Poland,PL,181.0
2020-04-12,Dolnoslaskie,PL72,22.0
2020-04-12,Kujawsko-Pomorskie,PL73,7.0
2020-04-12,Lubelskie,PL75,10.0
2020-04-12,Lubuskie,PL76,0.0
2020-04-12,Lodzkie,PL74,7.0
2020-04-12,Malopolskie,PL77,10.0
2020-04-12,Mazowieckie,PL78,54.0
2020-04-12,Opolskie,PL79,6.0
2020-04-12,Podkarpackie,PL80,11.0
2020-04-12,Podlaskie,PL81,1.0
2020-04-12,Pomorskie,PL82,1.0
2020-04-12,Slaskie,PL83,43.0
2020-04-12,Swietokrzyskie,PL84,2.0
2020-04-12,Warminsko-Mazurskie,PL85,1.0
2020-04-12,Wielkopolskie,PL86,31.0
2020-04-12,Zachodniopomorskie,PL87,2.0
2020-04-12,Poland,PL,208.0
2020-04-13,Dolnoslaskie,PL72,23.0
2020-04-13,Kujawsko-Pomorskie,PL73,7.0
2020-04-13,Lubelskie,PL75,10.0
2020-04-13,Lubuskie,PL76,0.0
2020-04-13,Lodzkie,PL74,7.0
2020-04-13,Malopolskie,PL77,11.0
2020-04-13,Mazowieckie,PL78,70.0
2020-04-13,Opolskie,PL79,7.0
2020-04-13,Podkarpackie,PL80,11.0
2020-04-13,Podlaskie,PL81,1.0
2020-04-13,Pomorskie,PL82,1.0
2020-04-13,Slaskie,PL83,44.0
2020-04-13,Swietokrzyskie,PL84,2.0
2020-04-13,Warminsko-Mazurskie,PL85,1.0
2020-04-13,Wielkopolskie,PL86,35.0
2020-04-13,Zachodniopomorskie,PL87,2.0
2020-04-13,Poland,PL,232.0
2020-04-14,Dolnoslaskie,PL72,24.0
2020-04-14,Kujawsko-Pomorskie,PL73,7.0
2020-04-14,Lubelskie,PL75,10.0
2020-04-14,Lubuskie,PL76,0.0
2020-04-14,Lodzkie,PL74,7.0
2020-04-14,Malopolskie,PL77,12.0
2020-04-14,Mazowieckie,PL78,71.0
2020-04-14,Opolskie,PL79,7.0
2020-04-14,Podkarpackie,PL80,13.0
2020-04-14,Podlaskie,PL81,1.0
2020-04-14,Pomorskie,PL82,1.0
