date,location_name,location,value
2021-09-10,Lubelskie,PL75,75
2021-09-10,Lubuskie,PL76,11
2021-09-10,Lodzkie,PL74,36
2021-09-10,Malopolskie,PL77,44
2021-09-10,Mazowieckie,PL78,54
2021-09-10,Opolskie,PL79,12
2021-09-10,Podkarpackie,PL80,45
2021-09-10,Podlaskie,PL81,40
2021-09-10,Pomorskie,PL82,30
2021-09-10,Slaskie,PL83,24
2021-09-10,Swietokrzyskie,PL84,4
2021-09-10,Warminsko-Mazurskie,PL85,14
2021-09-10,Wielkopolskie,PL86,24
2021-09-10,Zachodniopomorskie,PL87,28
2021-09-12,Poland,PL,530
2021-09-12,Dolnoslaskie,PL72,44
2021-09-12,Kujawsko-Pomorskie,PL73,20
2021-09-12,Lubelskie,PL75,68
2021-09-12,Lubuskie,PL76,4
2021-09-12,Lodzkie,PL74,30
2021-09-12,Malopolskie,PL77,41
2021-09-12,Mazowieckie,PL78,60
2021-09-12,Opolskie,PL79,5
2021-09-12,Podkarpackie,PL80,35
2021-09-12,Podlaskie,PL81,26
2021-09-12,Pomorskie,PL82,29
2021-09-12,Slaskie,PL83,43
2021-09-12,Swietokrzyskie,PL84,12
2021-09-12,Warminsko-Mazurskie,PL85,16
2021-09-12,Wielkopolskie,PL86,45
2021-09-12,Zachodniopomorskie,PL87,36
2021-09-11,Poland,PL,528
2021-09-11,Dolnoslaskie,PL72,34
2021-09-11,Kujawsko-Pomorskie,PL73,16
2021-09-11,Lubelskie,PL75,69
2021-09-11,Lubuskie,PL76,6
2021-09-11,Lodzkie,PL74,43
2021-09-11,Malopolskie,PL77,45
2021-09-11,Mazowieckie,PL78,91
2021-09-11,Opolskie,PL79,8
2021-09-11,Podkarpackie,PL80,31
2021-09-11,Podlaskie,PL81,21
2021-09-11,Pomorskie,PL82,26
2021-09-11,Slaskie,PL83,25
2021-09-11,Swietokrzyskie,PL84,11
2021-09-11,Warminsko-Mazurskie,PL85,23
2021-09-11,Wielkopolskie,PL86,23
2021-09-11,Zachodniopomorskie,PL87,34
2021-09-13,Poland,PL,476
2021-09-13,Dolnoslaskie,PL72,30
2021-09-13,Kujawsko-Pomorskie,PL73,18
2021-09-13,Lubelskie,PL75,48
2021-09-13,Lubuskie,PL76,12
2021-09-13,Lodzkie,PL74,45
2021-09-13,Malopolskie,PL77,51
2021-09-13,Mazowieckie,PL78,63
2021-09-13,Opolskie,PL79,14
2021-09-13,Podkarpackie,PL80,33
2021-09-13,Podlaskie,PL81,22
2021-09-13,Pomorskie,PL82,17
2021-09-13,Slaskie,PL83,29
2021-09-13,Swietokrzyskie,PL84,9
2021-09-13,Warminsko-Mazurskie,PL85,5
2021-09-13,Wielkopolskie,PL86,39
2021-09-13,Zachodniopomorskie,PL87,28
2021-09-14,Poland,PL,269
2021-09-14,Dolnoslaskie,PL72,18
2021-09-14,Kujawsko-Pomorskie,PL73,19
2021-09-14,Lubelskie,PL75,37
2021-09-14,Lubuskie,PL76,3
2021-09-14,Lodzkie,PL74,21
2021-09-14,Malopolskie,PL77,21
2021-09-14,Mazowieckie,PL78,35
2021-09-14,Opolskie,PL79,6
2021-09-14,Podkarpackie,PL80,18
2021-09-14,Podlaskie,PL81,8
2021-09-14,Pomorskie,PL82,15
2021-09-14,Slaskie,PL83,17
2021-09-14,Swietokrzyskie,PL84,2
2021-09-14,Warminsko-Mazurskie,PL85,8
2021-09-14,Wielkopolskie,PL86,17
2021-09-14,Zachodniopomorskie,PL87,21
2021-09-15,Poland,PL,537
2021-09-15,Dolnoslaskie,PL72,38
2021-09-15,Kujawsko-Pomorskie,PL73,14
2021-09-15,Lubelskie,PL75,75
2021-09-15,Lubuskie,PL76,6
2021-09-15,Lodzkie,PL74,43
2021-09-15,Malopolskie,PL77,52
2021-09-15,Mazowieckie,PL78,87
2021-09-15,Opolskie,PL79,4
2021-09-15,Podkarpackie,PL80,32
2021-09-15,Podlaskie,PL81,30
2021-09-15,Pomorskie,PL82,33
2021-09-15,Slaskie,PL83,23
2021-09-15,Swietokrzyskie,PL84,8
2021-09-15,Warminsko-Mazurskie,PL85,22
2021-09-15,Wielkopolskie,PL86,26
2021-09-15,Zachodniopomorskie,PL87,31
2021-09-16,Poland,PL,767
2021-09-16,Dolnoslaskie,PL72,37
2021-09-16,Kujawsko-Pomorskie,PL73,22
2021-09-16,Lubelskie,PL75,144
2021-09-16,Lubuskie,PL76,8
2021-09-16,Lodzkie,PL74,54
2021-09-16,Malopolskie,PL77,72
2021-09-16,Mazowieckie,PL78,106
2021-09-16,Opolskie,PL79,17
2021-09-16,Podkarpackie,PL80,59
2021-09-16,Podlaskie,PL81,34
2021-09-16,Pomorskie,PL82,35
2021-09-16,Slaskie,PL83,41
2021-09-16,Swietokrzyskie,PL84,13
2021-09-16,Warminsko-Mazurskie,PL85,27
2021-09-16,Wielkopolskie,PL86,45
2021-09-16,Zachodniopomorskie,PL87,36
2021-09-17,Poland,PL,722
2021-09-17,Dolnoslaskie,PL72,64
2021-09-17,Kujawsko-Pomorskie,PL73,21
2021-09-17,Lubelskie,PL75,120
2021-09-17,Lubuskie,PL76,19
2021-09-17,Lodzkie,PL74,38
2021-09-17,Malopolskie,PL77,54
2021-09-17,Mazowieckie,PL78,93
2021-09-17,Opolskie,PL79,18
2021-09-17,Podkarpackie,PL80,47
2021-09-17,Podlaskie,PL81,31
2021-09-17,Pomorskie,PL82,36
2021-09-17,Slaskie,PL83,52
2021-09-17,Swietokrzyskie,PL84,13
2021-09-17,Warminsko-Mazurskie,PL85,20
2021-09-17,Wielkopolskie,PL86,36
2021-09-17,Zachodniopomorskie,PL87,50
2021-09-18,Poland,PL,652
2021-09-18,Dolnoslaskie,PL72,48
2021-09-18,Kujawsko-Pomorskie,PL73,21
2021-09-18,Lubelskie,PL75,86
2021-09-18,Lubuskie,PL76,10
2021-09-18,Lodzkie,PL74,43
2021-09-18,Malopolskie,PL77,56
2021-09-18,Mazowieckie,PL78,86
2021-09-18,Opolskie,PL79,10
2021-09-18,Podkarpackie,PL80,60
2021-09-18,Podlaskie,PL81,47
2021-09-18,Pomorskie,PL82,37
2021-09-18,Slaskie,PL83,34
2021-09-18,Swietokrzyskie,PL84,5
2021-09-18,Warminsko-Mazurskie,PL85,20
2021-09-18,Wielkopolskie,PL86,30
2021-09-18,Zachodniopomorskie,PL87,54
2021-09-19,Poland,PL,797
2021-09-19,Dolnoslaskie,PL72,43
2021-09-19,Kujawsko-Pomorskie,PL73,20
2021-09-19,Lubelskie,PL75,122
2021-09-19,Lubuskie,PL76,7
2021-09-19,Lodzkie,PL74,55
2021-09-19,Malopolskie,PL77,57
2021-09-19,Mazowieckie,PL78,135
2021-09-19,Opolskie,PL79,17
2021-09-19,Podkarpackie,PL80,52
2021-09-19,Podlaskie,PL81,41
2021-09-19,Pomorskie,PL82,37
2021-09-19,Slaskie,PL83,53
2021-09-19,Swietokrzyskie,PL84,15
2021-09-19,Warminsko-Mazurskie,PL85,28
2021-09-19,Wielkopolskie,PL86,43
2021-09-19,Zachodniopomorskie,PL87,61
2021-09-20,Poland,PL,540
2021-09-20,Dolnoslaskie,PL72,39
2021-09-20,Kujawsko-Pomorskie,PL73,22
2021-09-20,Lubelskie,PL75,101
2021-09-20,Lubuskie,PL76,15
2021-09-20,Lodzkie,PL74,26
2021-09-20,Malopolskie,PL77,34
2021-09-20,Mazowieckie,PL78,83
2021-09-20,Opolskie,PL79,14
2021-09-20,Podkarpackie,PL80,38
2021-09-20,Podlaskie,PL81,22
2021-09-20,Pomorskie,PL82,13
2021-09-20,Slaskie,PL83,33
2021-09-20,Swietokrzyskie,PL84,12
2021-09-20,Warminsko-Mazurskie,PL85,11
2021-09-20,Wielkopolskie,PL86,35
2021-09-20,Zachodniopomorskie,PL87,24
2021-09-21,Poland,PL,363
2021-09-21,Dolnoslaskie,PL72,10
2021-09-21,Kujawsko-Pomorskie,PL73,2
2021-09-21,Lubelskie,PL75,42
2021-09-21,Lubuskie,PL76,14
2021-09-21,Lodzkie,PL74,28
2021-09-21,Malopolskie,PL77,39
2021-09-21,Mazowieckie,PL78,64
2021-09-21,Opolskie,PL79,4
2021-09-21,Podkarpackie,PL80,24
2021-09-21,Podlaskie,PL81,14
2021-09-21,Pomorskie,PL82,19
2021-09-21,Slaskie,PL83,27
2021-09-21,Swietokrzyskie,PL84,8
2021-09-21,Warminsko-Mazurskie,PL85,6
2021-09-21,Wielkopolskie,PL86,29
2021-09-21,Zachodniopomorskie,PL87,24
2021-09-22,Poland,PL,711
2021-09-22,Dolnoslaskie,PL72,34
2021-09-22,Kujawsko-Pomorskie,PL73,43
2021-09-22,Lubelskie,PL75,109
2021-09-22,Lubuskie,PL76,13
2021-09-22,Lodzkie,PL74,74
2021-09-22,Malopolskie,PL77,53
2021-09-22,Mazowieckie,PL78,107
2021-09-22,Opolskie,PL79,8
2021-09-22,Podkarpackie,PL80,31
2021-09-22,Podlaskie,PL81,48
2021-09-22,Pomorskie,PL82,38
2021-09-22,Slaskie,PL83,44
2021-09-22,Swietokrzyskie,PL84,6
2021-09-22,Warminsko-Mazurskie,PL85,33
2021-09-22,Wielkopolskie,PL86,28
2021-09-22,Zachodniopomorskie,PL87,37
2021-09-23,Poland,PL,882
2021-09-23,Dolnoslaskie,PL72,49
2021-09-23,Kujawsko-Pomorskie,PL73,16
2021-09-23,Lubelskie,PL75,152
2021-09-23,Lubuskie,PL76,11
2021-09-23,Lodzkie,PL74,77
2021-09-23,Malopolskie,PL77,57
2021-09-23,Mazowieckie,PL78,146
2021-09-23,Opolskie,PL79,12
2021-09-23,Podkarpackie,PL80,47
2021-09-23,Podlaskie,PL81,52
2021-09-23,Pomorskie,PL82,40
2021-09-23,Slaskie,PL83,53
2021-09-23,Swietokrzyskie,PL84,6
2021-09-23,Warminsko-Mazurskie,PL85,43
2021-09-23,Wielkopolskie,PL86,51
2021-09-23,Zachodniopomorskie,PL87,61
2021-09-24,Poland,PL,974
2021-09-24,Dolnoslaskie,PL72,63
2021-09-24,Kujawsko-Pomorskie,PL73,44
2021-09-24,Lubelskie,PL75,145
2021-09-24,Lubuskie,PL76,30
2021-09-24,Lodzkie,PL74,43
2021-09-24,Malopolskie,PL77,96
2021-09-24,Mazowieckie,PL78,156
2021-09-24,Opolskie,PL79,20
2021-09-24,Podkarpackie,PL80,65
2021-09-24,Podlaskie,PL81,41
2021-09-24,Pomorskie,PL82,39
2021-09-24,Slaskie,PL83,60
2021-09-24,Swietokrzyskie,PL84,8
