"location","forecast_date","target","target_end_date","type","quantile","value"
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.01,584000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.01,365000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.01,213000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.01,120000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.025,666000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.025,433000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.025,272000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.025,166000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.05,737000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.05,519000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.05,351000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.05,232000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.1,815000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.1,612000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.1,463000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.1,340000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.15,869000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.15,683000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.15,551000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.15,425000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.2,920000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.2,747000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.2,614000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.2,509000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.25,964000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.25,814000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.25,690000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.25,586000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.3,1010000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.3,879000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.3,759000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.3,652000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.35,1050000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.35,945000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.35,833000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.35,744000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.4,1100000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.4,1000000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.4,918000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.4,868000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.45,1140000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.45,1070000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.45,1020000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.45,959000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.5,1180000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.5,1130000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.5,1100000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.5,1070000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.55,1220000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.55,1190000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.55,1200000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.55,1210000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.6,1270000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.6,1270000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.6,1300000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.6,1350000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.65,1330000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.65,1360000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.65,1410000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.65,1490000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.7,1390000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.7,1450000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.7,1560000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.7,1660000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.75,1450000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.75,1560000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.75,1710000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.75,1920000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.8,1520000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.8,1700000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.8,1910000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.8,2230000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.85,1630000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.85,1880000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.85,2210000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.85,2600000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.9,1750000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.9,2120000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.9,2580000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.9,3240000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.95,1970000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.95,2470000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.95,3330000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.95,4370000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.975,2190000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.975,3060000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.975,4030000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.975,5060000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","quantile",0.99,2430000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","quantile",0.99,3510000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","quantile",0.99,4940000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","quantile",0.99,5450000
"GM","2022-02-20","1 wk ahead inc case","2022-02-26","point",NA,1180000
"GM","2022-02-20","2 wk ahead inc case","2022-03-05","point",NA,1130000
"GM","2022-02-20","3 wk ahead inc case","2022-03-12","point",NA,1100000
"GM","2022-02-20","4 wk ahead inc case","2022-03-19","point",NA,1070000
