"location","forecast_date","target","target_end_date","type","quantile","value"
"GM","2022-03-13","1 wk ahead inc case","2022-03-19","quantile",0.01,709000
"GM","2022-03-13","2 wk ahead inc case","2022-03-26","quantile",0.01,510000
"GM","2022-03-13","3 wk ahead inc case","2022-04-02","quantile",0.01,338000
"GM","2022-03-13","4 wk ahead inc case","2022-04-09","quantile",0.01,203000
"GM","2022-03-13","1 wk ahead inc case","2022-03-19","quantile",0.025,786000
"GM","2022-03-13","2 wk ahead inc case","2022-03-26","quantile",0.025,601000
"GM","2022-03-13","3 wk ahead inc case","2022-04-02","quantile",0.025,413000
"GM","2022-03-13","4 wk ahead inc case","2022-04-09","quantile",0.025,286000
"GM","2022-03-13","1 wk ahead inc case","2022-03-19","quantile",0.05,864000
"GM","2022-03-13","2 wk ahead inc case","2022-03-26","quantile",0.05,688000
"GM","2022-03-13","3 wk ahead inc case","2022-04-02","quantile",0.05,532000
"GM","2022-03-13","4 wk ahead inc case","2022-04-09","quantile",0.05,408000
"GM","2022-03-13","1 wk ahead inc case","2022-03-19","quantile",0.1,975000
"GM","2022-03-13","2 wk ahead inc case","2022-03-26","quantile",0.1,836000
"GM","2022-03-13","3 wk ahead inc case","2022-04-02","quantile",0.1,702000
"GM","2022-03-13","4 wk ahead inc case","2022-04-09","quantile",0.1,595000
"GM","2022-03-13","1 wk ahead inc case","2022-03-19","quantile",0.15,1050000
"GM","2022-03-13","2 wk ahead inc case","2022-03-26","quantile",0.15,962000
"GM","2022-03-13","3 wk ahead inc case","2022-04-02","quantile",0.15,834000
"GM","2022-03-13","4 wk ahead inc case","2022-04-09","quantile",0.15,729000
"GM","2022-03-13","1 wk ahead inc case","2022-03-19","quantile",0.2,1120000
"GM","2022-03-13","2 wk ahead inc case","2022-03-26","quantile",0.2,1060000
"GM","2022-03-13","3 wk ahead inc case","2022-04-02","quantile",0.2,962000
"GM","2022-03-13","4 wk ahead inc case","2022-04-09","quantile",0.2,867000
"GM","2022-03-13","1 wk ahead inc case","2022-03-19","quantile",0.25,1160000
"GM","2022-03-13","2 wk ahead inc case","2022-03-26","quantile",0.25,1150000
"GM","2022-03-13","3 wk ahead inc case","2022-04-02","quantile",0.25,1090000
"GM","2022-03-13","4 wk ahead inc case","2022-04-09","quantile",0.25,999000
"GM","2022-03-13","1 wk ahead inc case","2022-03-19","quantile",0.3,1220000
"GM","2022-03-13","2 wk ahead inc case","2022-03-26","quantile",0.3,1250000
"GM","2022-03-13","3 wk ahead inc case","2022-04-02","quantile",0.3,1210000
"GM","2022-03-13","4 wk ahead inc case","2022-04-09","quantile",0.3,1140000
"GM","2022-03-13","1 wk ahead inc case","2022-03-19","quantile",0.35,1290000
"GM","2022-03-13","2 wk ahead inc case","2022-03-26","quantile",0.35,1330000
"GM","2022-03-13","3 wk ahead inc case","2022-04-02","quantile",0.35,1350000
"GM","2022-03-13","4 wk ahead inc case","2022-04-09","quantile",0.35,1300000
"GM","2022-03-13","1 wk ahead inc case","2022-03-19","quantile",0.4,1340000
"GM","2022-03-13","2 wk ahead inc case","2022-03-26","quantile",0.4,1410000
"GM","2022-03-13","3 wk ahead inc case","2022-04-02","quantile",0.4,1450000
"GM","2022-03-13","4 wk ahead inc case","2022-04-09","quantile",0.4,1470000
"GM","2022-03-13","1 wk ahead inc case","2022-03-19","quantile",0.45,1390000
"GM","2022-03-13","2 wk ahead inc case","2022-03-26","quantile",0.45,1500000
"GM","2022-03-13","3 wk ahead inc case","2022-04-02","quantile",0.45,1590000
"GM","2022-03-13","4 wk ahead inc case","2022-04-09","quantile",0.45,1640000
"GM","2022-03-13","1 wk ahead inc case","2022-03-19","quantile",0.5,1440000
"GM","2022-03-13","2 wk ahead inc case","2022-03-26","quantile",0.5,1600000
"GM","2022-03-13","3 wk ahead inc case","2022-04-02","quantile",0.5,1730000
"GM","2022-03-13","4 wk ahead inc case","2022-04-09","quantile",0.5,1840000
"GM","2022-03-13","1 wk ahead inc case","2022-03-19","quantile",0.55,1490000
"GM","2022-03-13","2 wk ahead inc case","2022-03-26","quantile",0.55,1700000
"GM","2022-03-13","3 wk ahead inc case","2022-04-02","quantile",0.55,1880000
"GM","2022-03-13","4 wk ahead inc case","2022-04-09","quantile",0.55,2070000
"GM","2022-03-13","1 wk ahead inc case","2022-03-19","quantile",0.6,1550000
"GM","2022-03-13","2 wk ahead inc case","2022-03-26","quantile",0.6,1820000
"GM","2022-03-13","3 wk ahead inc case","2022-04-02","quantile",0.6,2050000
"GM","2022-03-13","4 wk ahead inc case","2022-04-09","quantile",0.6,2330000
"GM","2022-03-13","1 wk ahead inc case","2022-03-19","quantile",0.65,1600000
"GM","2022-03-13","2 wk ahead inc case","2022-03-26","quantile",0.65,1940000
"GM","2022-03-13","3 wk ahead inc case","2022-04-02","quantile",0.65,2260000
"GM","2022-03-13","4 wk ahead inc case","2022-04-09","quantile",0.65,2620000
"GM","2022-03-13","1 wk ahead inc case","2022-03-19","quantile",0.7,1670000
"GM","2022-03-13","2 wk ahead inc case","2022-03-26","quantile",0.7,2070000
"GM","2022-03-13","3 wk ahead inc case","2022-04-02","quantile",0.7,2490000
"GM","2022-03-13","4 wk ahead inc case","2022-04-09","quantile",0.7,2970000
"GM","2022-03-13","1 wk ahead inc case","2022-03-19","quantile",0.75,1760000
"GM","2022-03-13","2 wk ahead inc case","2022-03-26","quantile",0.75,2230000
"GM","2022-03-13","3 wk ahead inc case","2022-04-02","quantile",0.75,2810000
"GM","2022-03-13","4 wk ahead inc case","2022-04-09","quantile",0.75,3440000
"GM","2022-03-13","1 wk ahead inc case","2022-03-19","quantile",0.8,1860000
"GM","2022-03-13","2 wk ahead inc case","2022-03-26","quantile",0.8,2440000
"GM","2022-03-13","3 wk ahead inc case","2022-04-02","quantile",0.8,3080000
"GM","2022-03-13","4 wk ahead inc case","2022-04-09","quantile",0.8,3910000
"GM","2022-03-13","1 wk ahead inc case","2022-03-19","quantile",0.85,1960000
"GM","2022-03-13","2 wk ahead inc case","2022-03-26","quantile",0.85,2730000
