"location","forecast_date","target","target_end_date","type","quantile","value"
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.8,2060000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.8,2830000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.8,3770000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.8,4470000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.85,2200000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.85,3110000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.85,4280000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.85,4820000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.9,2400000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.9,3510000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.9,4700000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.9,5090000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.95,2650000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.95,4200000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.95,5150000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.95,5460000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.975,2910000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.975,4780000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.975,5540000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.975,5690000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.99,3340000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.99,5190000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.99,5850000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.99,6110000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","point",NA,1600000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","point",NA,1860000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","point",NA,2060000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","point",NA,2220000
