"location","forecast_date","target","target_end_date","type","quantile","value"
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.01,532
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.01,303
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.01,152
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.01,82
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.025,633
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.025,381
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.025,211
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.025,114
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.05,709
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.05,451
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.05,273
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.05,159
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.1,810
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.1,541
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.1,370
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.1,237
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.15,874
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.15,622
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.15,450
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.15,332
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.2,940
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.2,707
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.2,545
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.2,415
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.25,999
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.25,782
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.25,624
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.25,492
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.3,1050
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.3,849
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.3,701
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.3,569
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.35,1100
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.35,913
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.35,774
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.35,653
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.4,1150
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.4,981
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.4,859
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.4,749
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.45,1200
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.45,1060
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.45,939
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.45,871
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.5,1250
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.5,1140
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.5,1040
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.5,984
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.55,1310
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.55,1230
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.55,1160
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.55,1110
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.6,1370
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.6,1320
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.6,1290
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.6,1290
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.65,1430
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.65,1400
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.65,1450
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.65,1460
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.7,1510
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.7,1530
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.7,1610
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.7,1710
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.75,1580
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.75,1670
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.75,1800
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.75,1960
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.8,1680
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.8,1840
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.8,2070
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.8,2320
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.85,1800
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.85,2060
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.85,2400
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.85,2810
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.9,1940
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.9,2370
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.9,2940
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.9,3730
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.95,2220
"PL","2022-06-05","2 wk ahead inc case","2022-06-18","quantile",0.95,2940
"PL","2022-06-05","3 wk ahead inc case","2022-06-25","quantile",0.95,4270
"PL","2022-06-05","4 wk ahead inc case","2022-07-02","quantile",0.95,6180
"PL","2022-06-05","1 wk ahead inc case","2022-06-11","quantile",0.975,2430
