"quantile","value","type","location","target","forecast_date","target_end_date"
0.01,14427,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.025,15096,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.05,16371,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.1,17659,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.15,18871,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.2,19652,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.25,20521,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.3,21168,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.35,21889,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.4,22591,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.45,23308,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.5,23974,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
NA,23974,"point","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.55,24847,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.6,25731,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.65,26534,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.7,27504,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.75,28363,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.8,29323,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.85,30528,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.9,31984,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.95,35199,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.975,37964,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.99,41360,"quantile","PL","1 wk ahead inc case","2021-05-16","2021-05-22"
0.01,11274,"quantile","PL","2 wk ahead inc case","2021-05-16","2021-05-29"
