"quantile","value","type","location","target","forecast_date","target_end_date"
0.01,85429,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.025,92820,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.05,98364,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.1,106101,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.15,112420,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.2,119521,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.25,123806,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.3,127860,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.35,132533,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.4,136287,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.45,141504,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.5,146324,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
NA,146324,"point","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.55,149815,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.6,154842,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.65,159645,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.7,163849,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.75,169642,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.8,175077,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.85,182362,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.9,192003,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.95,210538,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.975,227992,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.99,239818,"quantile","PL","1 wk ahead inc case","2021-04-11","2021-04-17"
0.01,61796,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.025,66357,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.05,73943,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.1,84922,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.15,92646,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.2,97752,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.25,102946,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.3,108519,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.35,113793,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.4,119127,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.45,124075,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.5,130162,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
NA,130162,"point","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.55,135334,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.6,142681,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.65,148160,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.7,154731,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.75,164478,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.8,175130,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.85,186864,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.9,202987,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.95,227683,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.975,244643,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.99,270147,"quantile","PL","2 wk ahead inc case","2021-04-11","2021-04-24"
0.01,40089,"quantile","PL","3 wk ahead inc case","2021-04-11","2021-05-01"
0.025,46174,"quantile","PL","3 wk ahead inc case","2021-04-11","2021-05-01"
0.05,53806,"quantile","PL","3 wk ahead inc case","2021-04-11","2021-05-01"
0.1,64187,"quantile","PL","3 wk ahead inc case","2021-04-11","2021-05-01"
0.15,71500,"quantile","PL","3 wk ahead inc case","2021-04-11","2021-05-01"
0.2,79879,"quantile","PL","3 wk ahead inc case","2021-04-11","2021-05-01"
0.25,86493,"quantile","PL","3 wk ahead inc case","2021-04-11","2021-05-01"
0.3,92426,"quantile","PL","3 wk ahead inc case","2021-04-11","2021-05-01"
0.35,98620,"quantile","PL","3 wk ahead inc case","2021-04-11","2021-05-01"
0.4,104867,"quantile","PL","3 wk ahead inc case","2021-04-11","2021-05-01"
0.45,110531,"quantile","PL","3 wk ahead inc case","2021-04-11","2021-05-01"
0.5,118084,"quantile","PL","3 wk ahead inc case","2021-04-11","2021-05-01"
NA,118084,"point","PL","3 wk ahead inc case","2021-04-11","2021-05-01"
0.55,124633,"quantile","PL","3 wk ahead inc case","2021-04-11","2021-05-01"
0.6,133468,"quantile","PL","3 wk ahead inc case","2021-04-11","2021-05-01"
0.65,142171,"quantile","PL","3 wk ahead inc case","2021-04-11","2021-05-01"
