"quantile","value","type","location","target","forecast_date","target_end_date"
0.01,6648,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.025,7445,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.05,8538,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.1,9847,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.15,10982,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.2,11874,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.25,12760,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.3,13447,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.35,14272,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.4,15070,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.45,15870,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.5,16959,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
NA,16959,"point","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.55,18105,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.6,19231,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.65,20124,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.7,21357,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.75,22680,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.8,24182,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.85,26231,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.9,29107,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.95,34820,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.975,39291,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.99,47949,"quantile","GM","1 wk ahead inc case","2021-06-06","2021-06-12"
0.01,3166,"quantile","GM","2 wk ahead inc case","2021-06-06","2021-06-19"
0.025,3939,"quantile","GM","2 wk ahead inc case","2021-06-06","2021-06-19"
0.05,4625,"quantile","GM","2 wk ahead inc case","2021-06-06","2021-06-19"
0.1,5697,"quantile","GM","2 wk ahead inc case","2021-06-06","2021-06-19"
0.15,6535,"quantile","GM","2 wk ahead inc case","2021-06-06","2021-06-19"
0.2,7270,"quantile","GM","2 wk ahead inc case","2021-06-06","2021-06-19"
0.25,8120,"quantile","GM","2 wk ahead inc case","2021-06-06","2021-06-19"
