"quantile","value","type","location","target","forecast_date","target_end_date"
0.01,26617,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.025,31226,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.05,35814,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.1,41270,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.15,44653,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.2,47035,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.25,49868,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.3,52815,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.35,55488,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.4,58548,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.45,61366,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.5,64398,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
NA,64398,"point","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.55,67323,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.6,70301,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.65,74043,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.7,79057,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.75,83177,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.8,88891,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.85,94723,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.9,100634,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.95,116147,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.975,125965,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.99,145750,"quantile","GM","1 wk ahead inc case","2021-05-16","2021-05-22"
0.01,17808,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.025,21118,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.05,24947,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.1,29335,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.15,32539,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.2,35941,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.25,39346,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.3,41954,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.35,44636,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.4,47240,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.45,49941,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.5,52776,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
NA,52776,"point","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.55,55602,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.6,59387,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.65,62728,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.7,66754,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.75,71848,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.8,76638,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.85,82594,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.9,94236,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.95,114440,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.975,135635,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.99,147430,"quantile","GM","2 wk ahead inc case","2021-05-16","2021-05-29"
0.01,11789,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.025,14143,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.05,17100,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.1,20819,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.15,24275,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.2,26368,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.25,29309,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.3,32222,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.35,35201,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.4,37753,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.45,40257,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.5,43439,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
NA,43439,"point","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.55,46509,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.6,49091,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.65,52659,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.7,58100,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.75,63096,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.8,67977,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.85,76869,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.9,89578,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.95,110703,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.975,125614,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.99,150870,"quantile","GM","3 wk ahead inc case","2021-05-16","2021-06-05"
0.01,7376,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.025,9519,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.05,11350,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.1,15647,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.15,17707,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.2,19530,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.25,22100,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.3,24747,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.35,27518,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.4,30225,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.45,33167,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.5,35898,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
NA,35898,"point","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.55,39582,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.6,43323,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.65,47091,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.7,50705,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.75,55041,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.8,62091,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.85,69497,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.9,84821,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.95,108993,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.975,132937,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
0.99,188676,"quantile","GM","4 wk ahead inc case","2021-05-16","2021-06-12"
