date,location,location_name,value
2021-07-30,GM,Germany,91637
2021-07-30,GM01,Baden-Württemberg State,10391
2021-07-30,GM02,Free State of Bavaria,15331
2021-07-30,GM03,Free Hanseatic City of Bremen,493
2021-07-30,GM04,Free Hanseatic City of Hamburg,1614
2021-07-30,GM05,Hesse State,7585
2021-07-30,GM06,Lower Saxony State,5815
2021-07-30,GM07,North Rhine-Westphalia State,17291
2021-07-30,GM08,Rhineland-Palatinate State,3906
2021-07-30,GM09,Saarland State,1029
2021-07-30,GM10,Schleswig-Holstein State,1636
2021-07-30,GM11,Brandenburg State,3817
2021-07-30,GM12,Mecklenburg-Western Pomerania State,1179
2021-07-30,GM13,Free State of Saxony,10133
2021-07-30,GM14,Sachsen-Anhalt State,3454
2021-07-30,GM15,Free State of Thuringia,4381
2021-07-30,GM16,Berlin State,3582
