date,location,location_name,value
2022-03-05,GM,Germany,124051
2022-03-05,GM01,Baden-Württemberg State,14409
2022-03-05,GM02,Free State of Bavaria,21572
2022-03-05,GM03,Free Hanseatic City of Bremen,687
2022-03-05,GM04,Free Hanseatic City of Hamburg,2313
2022-03-05,GM05,Hesse State,9267
2022-03-05,GM06,Lower Saxony State,7582
2022-03-05,GM07,North Rhine-Westphalia State,22528
2022-03-05,GM08,Rhineland-Palatinate State,5047
2022-03-05,GM09,Saarland State,1414
2022-03-05,GM10,Schleswig-Holstein State,2141
2022-03-05,GM11,Brandenburg State,5218
2022-03-05,GM12,Mecklenburg-Western Pomerania State,1795
2022-03-05,GM13,Free State of Saxony,14376
2022-03-05,GM14,Sachsen-Anhalt State,4790
2022-03-05,GM15,Free State of Thuringia,6636
2022-03-05,GM16,Berlin State,4276
