date,location,location_name,value
2022-03-03,GM,Germany,123505
2022-03-03,GM01,Baden-Württemberg State,14334
2022-03-03,GM02,Free State of Bavaria,21455
2022-03-03,GM03,Free Hanseatic City of Bremen,684
2022-03-03,GM04,Free Hanseatic City of Hamburg,2307
2022-03-03,GM05,Hesse State,9237
2022-03-03,GM06,Lower Saxony State,7519
2022-03-03,GM07,North Rhine-Westphalia State,22410
2022-03-03,GM08,Rhineland-Palatinate State,5030
2022-03-03,GM09,Saarland State,1405
2022-03-03,GM10,Schleswig-Holstein State,2130
2022-03-03,GM11,Brandenburg State,5204
2022-03-03,GM12,Mecklenburg-Western Pomerania State,1779
2022-03-03,GM13,Free State of Saxony,14354
2022-03-03,GM14,Sachsen-Anhalt State,4770
2022-03-03,GM15,Free State of Thuringia,6624
2022-03-03,GM16,Berlin State,4263
