date,location,location_name,value
2022-01-09,GM,Germany,113977
2022-01-09,GM01,Baden-Württemberg State,13211
2022-01-09,GM02,Free State of Bavaria,19931
2022-01-09,GM03,Free Hanseatic City of Bremen,613
2022-01-09,GM04,Free Hanseatic City of Hamburg,2029
2022-01-09,GM05,Hesse State,8621
2022-01-09,GM06,Lower Saxony State,6917
2022-01-09,GM07,North Rhine-Westphalia State,20577
2022-01-09,GM08,Rhineland-Palatinate State,4699
2022-01-09,GM09,Saarland State,1263
2022-01-09,GM10,Schleswig-Holstein State,1898
2022-01-09,GM11,Brandenburg State,4798
2022-01-09,GM12,Mecklenburg-Western Pomerania State,1515
2022-01-09,GM13,Free State of Saxony,13397
2022-01-09,GM14,Sachsen-Anhalt State,4395
2022-01-09,GM15,Free State of Thuringia,6075
2022-01-09,GM16,Berlin State,4038
