date,location,location_name,value
2022-01-06,GM,Germany,113368
2022-01-06,GM01,Baden-Württemberg State,13173
2022-01-06,GM02,Free State of Bavaria,19878
2022-01-06,GM03,Free Hanseatic City of Bremen,612
2022-01-06,GM04,Free Hanseatic City of Hamburg,2015
2022-01-06,GM05,Hesse State,8601
2022-01-06,GM06,Lower Saxony State,6876
2022-01-06,GM07,North Rhine-Westphalia State,20502
2022-01-06,GM08,Rhineland-Palatinate State,4676
2022-01-06,GM09,Saarland State,1257
2022-01-06,GM10,Schleswig-Holstein State,1894
2022-01-06,GM11,Brandenburg State,4761
2022-01-06,GM12,Mecklenburg-Western Pomerania State,1500
2022-01-06,GM13,Free State of Saxony,13221
2022-01-06,GM14,Sachsen-Anhalt State,4370
2022-01-06,GM15,Free State of Thuringia,6003
2022-01-06,GM16,Berlin State,4029
