date,location,location_name,value
2022-02-15,GM,Germany,120220
2022-02-15,GM01,Baden-Württemberg State,13927
2022-02-15,GM02,Free State of Bavaria,20896
2022-02-15,GM03,Free Hanseatic City of Bremen,666
2022-02-15,GM04,Free Hanseatic City of Hamburg,2209
2022-02-15,GM05,Hesse State,9007
2022-02-15,GM06,Lower Saxony State,7266
2022-02-15,GM07,North Rhine-Westphalia State,21598
2022-02-15,GM08,Rhineland-Palatinate State,4879
2022-02-15,GM09,Saarland State,1355
2022-02-15,GM10,Schleswig-Holstein State,2054
2022-02-15,GM11,Brandenburg State,5088
2022-02-15,GM12,Mecklenburg-Western Pomerania State,1700
2022-02-15,GM13,Free State of Saxony,14223
2022-02-15,GM14,Sachsen-Anhalt State,4678
2022-02-15,GM15,Free State of Thuringia,6506
2022-02-15,GM16,Berlin State,4168
