date,location,location_name,value
2021-05-19,GM,Germany,86665
2021-05-19,GM01,Baden-Württemberg State,9751
2021-05-19,GM02,Free State of Bavaria,14660
2021-05-19,GM03,Free Hanseatic City of Bremen,469
2021-05-19,GM04,Free Hanseatic City of Hamburg,1535
2021-05-19,GM05,Hesse State,7175
2021-05-19,GM06,Lower Saxony State,5515
2021-05-19,GM07,North Rhine-Westphalia State,16356
2021-05-19,GM08,Rhineland-Palatinate State,3662
2021-05-19,GM09,Saarland State,981
2021-05-19,GM10,Schleswig-Holstein State,1570
2021-05-19,GM11,Brandenburg State,3685
2021-05-19,GM12,Mecklenburg-Western Pomerania State,1089
2021-05-19,GM13,Free State of Saxony,9455
2021-05-19,GM14,Sachsen-Anhalt State,3245
2021-05-19,GM15,Free State of Thuringia,4105
2021-05-19,GM16,Berlin State,3412
