date,location,location_name,value
2021-08-07,GM,Germany,91778
2021-08-07,GM01,Baden-Württemberg State,10428
2021-08-07,GM02,Free State of Bavaria,15359
2021-08-07,GM03,Free Hanseatic City of Bremen,493
2021-08-07,GM04,Free Hanseatic City of Hamburg,1624
2021-08-07,GM05,Hesse State,7593
2021-08-07,GM06,Lower Saxony State,5819
2021-08-07,GM07,North Rhine-Westphalia State,17305
2021-08-07,GM08,Rhineland-Palatinate State,3911
2021-08-07,GM09,Saarland State,1030
2021-08-07,GM10,Schleswig-Holstein State,1639
2021-08-07,GM11,Brandenburg State,3818
2021-08-07,GM12,Mecklenburg-Western Pomerania State,1183
2021-08-07,GM13,Free State of Saxony,10139
2021-08-07,GM14,Sachsen-Anhalt State,3468
2021-08-07,GM15,Free State of Thuringia,4384
2021-08-07,GM16,Berlin State,3585
