date,location,location_name,value
2022-03-25,GM,Germany,128110
2022-03-25,GM01,Baden-Württemberg State,14916
2022-03-25,GM02,Free State of Bavaria,22314
2022-03-25,GM03,Free Hanseatic City of Bremen,711
2022-03-25,GM04,Free Hanseatic City of Hamburg,2364
2022-03-25,GM05,Hesse State,9537
2022-03-25,GM06,Lower Saxony State,7918
2022-03-25,GM07,North Rhine-Westphalia State,23379
2022-03-25,GM08,Rhineland-Palatinate State,5206
2022-03-25,GM09,Saarland State,1499
2022-03-25,GM10,Schleswig-Holstein State,2258
2022-03-25,GM11,Brandenburg State,5377
2022-03-25,GM12,Mecklenburg-Western Pomerania State,1939
2022-03-25,GM13,Free State of Saxony,14616
2022-03-25,GM14,Sachsen-Anhalt State,4963
2022-03-25,GM15,Free State of Thuringia,6767
2022-03-25,GM16,Berlin State,4346
