date,location,location_name,value
2022-03-13,GM,Germany,125571
2022-03-13,GM01,Baden-Württemberg State,14645
2022-03-13,GM02,Free State of Bavaria,21884
2022-03-13,GM03,Free Hanseatic City of Bremen,694
2022-03-13,GM04,Free Hanseatic City of Hamburg,2341
2022-03-13,GM05,Hesse State,9364
2022-03-13,GM06,Lower Saxony State,7685
2022-03-13,GM07,North Rhine-Westphalia State,22798
2022-03-13,GM08,Rhineland-Palatinate State,5103
2022-03-13,GM09,Saarland State,1439
2022-03-13,GM10,Schleswig-Holstein State,2187
2022-03-13,GM11,Brandenburg State,5293
2022-03-13,GM12,Mecklenburg-Western Pomerania State,1856
2022-03-13,GM13,Free State of Saxony,14444
2022-03-13,GM14,Sachsen-Anhalt State,4856
2022-03-13,GM15,Free State of Thuringia,6685
2022-03-13,GM16,Berlin State,4297
