date,location,location_name,value
2022-11-30,GM,Germany,157791
2022-11-30,GM01,Baden-Württemberg State,18210
2022-11-30,GM02,Free State of Bavaria,27100
2022-11-30,GM03,Free Hanseatic City of Bremen,887
2022-11-30,GM04,Free Hanseatic City of Hamburg,3256
2022-11-30,GM05,Hesse State,11678
2022-11-30,GM06,Lower Saxony State,11776
2022-11-30,GM07,North Rhine-Westphalia State,29002
2022-11-30,GM08,Rhineland-Palatinate State,6547
2022-11-30,GM09,Saarland State,1968
2022-11-30,GM10,Schleswig-Holstein State,3146
2022-11-30,GM11,Brandenburg State,6176
2022-11-30,GM12,Mecklenburg-Western Pomerania State,2585
2022-11-30,GM13,Free State of Saxony,16362
2022-11-30,GM14,Sachsen-Anhalt State,6044
2022-11-30,GM15,Free State of Thuringia,7915
2022-11-30,GM16,Berlin State,5139
