date,location,location_name,value
2022-10-11,GM,Germany,150720
2022-10-11,GM01,Baden-Württemberg State,17366
2022-10-11,GM02,Free State of Bavaria,25973
2022-10-11,GM03,Free Hanseatic City of Bremen,845
2022-10-11,GM04,Free Hanseatic City of Hamburg,3077
2022-10-11,GM05,Hesse State,11156
2022-10-11,GM06,Lower Saxony State,10909
2022-10-11,GM07,North Rhine-Westphalia State,27634
2022-10-11,GM08,Rhineland-Palatinate State,6223
2022-10-11,GM09,Saarland State,1869
2022-10-11,GM10,Schleswig-Holstein State,2924
2022-10-11,GM11,Brandenburg State,5940
2022-10-11,GM12,Mecklenburg-Western Pomerania State,2482
2022-10-11,GM13,Free State of Saxony,16065
2022-10-11,GM14,Sachsen-Anhalt State,5737
2022-10-11,GM15,Free State of Thuringia,7671
2022-10-11,GM16,Berlin State,4849
