date,location,location_name,value
2022-02-10,GM,Germany,119453
2022-02-10,GM01,Baden-Württemberg State,13848
2022-02-10,GM02,Free State of Bavaria,20765
2022-02-10,GM03,Free Hanseatic City of Bremen,661
2022-02-10,GM04,Free Hanseatic City of Hamburg,2195
2022-02-10,GM05,Hesse State,8944
2022-02-10,GM06,Lower Saxony State,7173
2022-02-10,GM07,North Rhine-Westphalia State,21411
2022-02-10,GM08,Rhineland-Palatinate State,4852
2022-02-10,GM09,Saarland State,1345
2022-02-10,GM10,Schleswig-Holstein State,2024
2022-02-10,GM11,Brandenburg State,5071
2022-02-10,GM12,Mecklenburg-Western Pomerania State,1682
2022-02-10,GM13,Free State of Saxony,14194
2022-02-10,GM14,Sachsen-Anhalt State,4654
2022-02-10,GM15,Free State of Thuringia,6475
2022-02-10,GM16,Berlin State,4159
