date,location,location_name,value
2022-02-04,GM,Germany,118504
2022-02-04,GM01,Baden-Württemberg State,13748
2022-02-04,GM02,Free State of Bavaria,20581
2022-02-04,GM03,Free Hanseatic City of Bremen,654
2022-02-04,GM04,Free Hanseatic City of Hamburg,2161
2022-02-04,GM05,Hesse State,8869
2022-02-04,GM06,Lower Saxony State,7130
2022-02-04,GM07,North Rhine-Westphalia State,21236
2022-02-04,GM08,Rhineland-Palatinate State,4824
2022-02-04,GM09,Saarland State,1337
2022-02-04,GM10,Schleswig-Holstein State,1990
2022-02-04,GM11,Brandenburg State,5014
2022-02-04,GM12,Mecklenburg-Western Pomerania State,1652
2022-02-04,GM13,Free State of Saxony,14117
2022-02-04,GM14,Sachsen-Anhalt State,4623
2022-02-04,GM15,Free State of Thuringia,6435
2022-02-04,GM16,Berlin State,4133
