date,location,location_name,value
2021-12-01,GM,Germany,101790
2021-12-01,GM01,Baden-Württemberg State,11807
2021-12-01,GM02,Free State of Bavaria,17652
2021-12-01,GM03,Free Hanseatic City of Bremen,553
2021-12-01,GM04,Free Hanseatic City of Hamburg,1892
2021-12-01,GM05,Hesse State,8157
2021-12-01,GM06,Lower Saxony State,6373
2021-12-01,GM07,North Rhine-Westphalia State,19020
2021-12-01,GM08,Rhineland-Palatinate State,4286
2021-12-01,GM09,Saarland State,1115
2021-12-01,GM10,Schleswig-Holstein State,1800
2021-12-01,GM11,Brandenburg State,4149
2021-12-01,GM12,Mecklenburg-Western Pomerania State,1335
2021-12-01,GM13,Free State of Saxony,10997
2021-12-01,GM14,Sachsen-Anhalt State,3806
2021-12-01,GM15,Free State of Thuringia,5013
2021-12-01,GM16,Berlin State,3835
