date,location,location_name,value
2021-12-13,GM,Germany,105754
2021-12-13,GM01,Baden-Württemberg State,12268
2021-12-13,GM02,Free State of Bavaria,18583
2021-12-13,GM03,Free Hanseatic City of Bremen,567
2021-12-13,GM04,Free Hanseatic City of Hamburg,1926
2021-12-13,GM05,Hesse State,8320
2021-12-13,GM06,Lower Saxony State,6560
2021-12-13,GM07,North Rhine-Westphalia State,19495
2021-12-13,GM08,Rhineland-Palatinate State,4410
2021-12-13,GM09,Saarland State,1151
2021-12-13,GM10,Schleswig-Holstein State,1832
2021-12-13,GM11,Brandenburg State,4327
2021-12-13,GM12,Mecklenburg-Western Pomerania State,1375
2021-12-13,GM13,Free State of Saxony,11685
2021-12-13,GM14,Sachsen-Anhalt State,3962
2021-12-13,GM15,Free State of Thuringia,5369
2021-12-13,GM16,Berlin State,3924
