date,location,location_name,value
2021-05-22,GM,Germany,87298
2021-05-22,GM01,Baden-Württemberg State,9828
2021-05-22,GM02,Free State of Bavaria,14766
2021-05-22,GM03,Free Hanseatic City of Bremen,471
2021-05-22,GM04,Free Hanseatic City of Hamburg,1543
2021-05-22,GM05,Hesse State,7201
2021-05-22,GM06,Lower Saxony State,5559
2021-05-22,GM07,North Rhine-Westphalia State,16473
2021-05-22,GM08,Rhineland-Palatinate State,3694
2021-05-22,GM09,Saarland State,995
2021-05-22,GM10,Schleswig-Holstein State,1574
2021-05-22,GM11,Brandenburg State,3697
2021-05-22,GM12,Mecklenburg-Western Pomerania State,1106
2021-05-22,GM13,Free State of Saxony,9546
2021-05-22,GM14,Sachsen-Anhalt State,3278
2021-05-22,GM15,Free State of Thuringia,4138
2021-05-22,GM16,Berlin State,3429
