date,location,location_name,value
2021-05-31,GM,Germany,88442
2021-05-31,GM01,Baden-Württemberg State,9949
2021-05-31,GM02,Free State of Bavaria,14942
2021-05-31,GM03,Free Hanseatic City of Bremen,473
2021-05-31,GM04,Free Hanseatic City of Hamburg,1563
2021-05-31,GM05,Hesse State,7327
2021-05-31,GM06,Lower Saxony State,5609
2021-05-31,GM07,North Rhine-Westphalia State,16725
2021-05-31,GM08,Rhineland-Palatinate State,3725
2021-05-31,GM09,Saarland State,1006
2021-05-31,GM10,Schleswig-Holstein State,1593
2021-05-31,GM11,Brandenburg State,3728
2021-05-31,GM12,Mecklenburg-Western Pomerania State,1121
2021-05-31,GM13,Free State of Saxony,9683
2021-05-31,GM14,Sachsen-Anhalt State,3315
2021-05-31,GM15,Free State of Thuringia,4202
2021-05-31,GM16,Berlin State,3481
