date,location,location_name,value
2021-05-21,GM,Germany,87128
2021-05-21,GM01,Baden-Württemberg State,9811
2021-05-21,GM02,Free State of Bavaria,14740
2021-05-21,GM03,Free Hanseatic City of Bremen,471
2021-05-21,GM04,Free Hanseatic City of Hamburg,1541
2021-05-21,GM05,Hesse State,7189
2021-05-21,GM06,Lower Saxony State,5548
2021-05-21,GM07,North Rhine-Westphalia State,16446
2021-05-21,GM08,Rhineland-Palatinate State,3678
2021-05-21,GM09,Saarland State,991
2021-05-21,GM10,Schleswig-Holstein State,1573
2021-05-21,GM11,Brandenburg State,3693
2021-05-21,GM12,Mecklenburg-Western Pomerania State,1103
2021-05-21,GM13,Free State of Saxony,9518
2021-05-21,GM14,Sachsen-Anhalt State,3270
2021-05-21,GM15,Free State of Thuringia,4134
2021-05-21,GM16,Berlin State,3422
