date,location,location_name,value
2021-08-04,GM,Germany,91704
2021-08-04,GM01,Baden-Württemberg State,10411
2021-08-04,GM02,Free State of Bavaria,15344
2021-08-04,GM03,Free Hanseatic City of Bremen,493
2021-08-04,GM04,Free Hanseatic City of Hamburg,1621
2021-08-04,GM05,Hesse State,7590
2021-08-04,GM06,Lower Saxony State,5819
2021-08-04,GM07,North Rhine-Westphalia State,17297
2021-08-04,GM08,Rhineland-Palatinate State,3906
2021-08-04,GM09,Saarland State,1030
2021-08-04,GM10,Schleswig-Holstein State,1639
2021-08-04,GM11,Brandenburg State,3818
2021-08-04,GM12,Mecklenburg-Western Pomerania State,1180
2021-08-04,GM13,Free State of Saxony,10137
2021-08-04,GM14,Sachsen-Anhalt State,3454
2021-08-04,GM15,Free State of Thuringia,4382
2021-08-04,GM16,Berlin State,3583
