date,location,location_name,value
2022-06-19,GM,Germany,140176
2022-06-19,GM01,Baden-Württemberg State,16225
2022-06-19,GM02,Free State of Bavaria,24232
2022-06-19,GM03,Free Hanseatic City of Bremen,782
2022-06-19,GM04,Free Hanseatic City of Hamburg,2695
2022-06-19,GM05,Hesse State,10259
2022-06-19,GM06,Lower Saxony State,9492
2022-06-19,GM07,North Rhine-Westphalia State,25588
2022-06-19,GM08,Rhineland-Palatinate State,5722
2022-06-19,GM09,Saarland State,1702
2022-06-19,GM10,Schleswig-Holstein State,2586
2022-06-19,GM11,Brandenburg State,5703
2022-06-19,GM12,Mecklenburg-Western Pomerania State,2247
2022-06-19,GM13,Free State of Saxony,15574
2022-06-19,GM14,Sachsen-Anhalt State,5390
2022-06-19,GM15,Free State of Thuringia,7343
2022-06-19,GM16,Berlin State,4636
