date,location,location_name,value
2021-04-27,GM,Germany,81968
2021-04-27,GM01,Baden-Württemberg State,9256
2021-04-27,GM02,Free State of Bavaria,14028
2021-04-27,GM03,Free Hanseatic City of Bremen,447
2021-04-27,GM04,Free Hanseatic City of Hamburg,1467
2021-04-27,GM05,Hesse State,6802
2021-04-27,GM06,Lower Saxony State,5242
2021-04-27,GM07,North Rhine-Westphalia State,15287
2021-04-27,GM08,Rhineland-Palatinate State,3528
2021-04-27,GM09,Saarland State,954
2021-04-27,GM10,Schleswig-Holstein State,1502
2021-04-27,GM11,Brandenburg State,3518
2021-04-27,GM12,Mecklenburg-Western Pomerania State,976
2021-04-27,GM13,Free State of Saxony,8990
2021-04-27,GM14,Sachsen-Anhalt State,3027
2021-04-27,GM15,Free State of Thuringia,3752
2021-04-27,GM16,Berlin State,3192
