date,location,location_name,value
2021-12-09,GM,Germany,104512
2021-12-09,GM01,Baden-Württemberg State,12124
2021-12-09,GM02,Free State of Bavaria,18310
2021-12-09,GM03,Free Hanseatic City of Bremen,560
2021-12-09,GM04,Free Hanseatic City of Hamburg,1910
2021-12-09,GM05,Hesse State,8264
2021-12-09,GM06,Lower Saxony State,6513
2021-12-09,GM07,North Rhine-Westphalia State,19386
2021-12-09,GM08,Rhineland-Palatinate State,4374
2021-12-09,GM09,Saarland State,1137
2021-12-09,GM10,Schleswig-Holstein State,1824
2021-12-09,GM11,Brandenburg State,4280
2021-12-09,GM12,Mecklenburg-Western Pomerania State,1367
2021-12-09,GM13,Free State of Saxony,11392
2021-12-09,GM14,Sachsen-Anhalt State,3908
2021-12-09,GM15,Free State of Thuringia,5277
2021-12-09,GM16,Berlin State,3886
