date,location,location_name,value
2021-11-10,GM,Germany,96963
2021-11-10,GM01,Baden-Württemberg State,11163
2021-11-10,GM02,Free State of Bavaria,16363
2021-11-10,GM03,Free Hanseatic City of Bremen,534
2021-11-10,GM04,Free Hanseatic City of Hamburg,1839
2021-11-10,GM05,Hesse State,7926
2021-11-10,GM06,Lower Saxony State,6141
2021-11-10,GM07,North Rhine-Westphalia State,18402
2021-11-10,GM08,Rhineland-Palatinate State,4138
2021-11-10,GM09,Saarland State,1077
2021-11-10,GM10,Schleswig-Holstein State,1745
2021-11-10,GM11,Brandenburg State,3959
2021-11-10,GM12,Mecklenburg-Western Pomerania State,1267
2021-11-10,GM13,Free State of Saxony,10423
2021-11-10,GM14,Sachsen-Anhalt State,3619
2021-11-10,GM15,Free State of Thuringia,4621
2021-11-10,GM16,Berlin State,3746
