date,location,location_name,value
2022-03-07,GM,Germany,124126
2022-03-07,GM01,Baden-Württemberg State,14438
2022-03-07,GM02,Free State of Bavaria,21592
2022-03-07,GM03,Free Hanseatic City of Bremen,687
2022-03-07,GM04,Free Hanseatic City of Hamburg,2319
2022-03-07,GM05,Hesse State,9268
2022-03-07,GM06,Lower Saxony State,7585
2022-03-07,GM07,North Rhine-Westphalia State,22530
2022-03-07,GM08,Rhineland-Palatinate State,5049
2022-03-07,GM09,Saarland State,1414
2022-03-07,GM10,Schleswig-Holstein State,2141
2022-03-07,GM11,Brandenburg State,5220
2022-03-07,GM12,Mecklenburg-Western Pomerania State,1798
2022-03-07,GM13,Free State of Saxony,14376
2022-03-07,GM14,Sachsen-Anhalt State,4792
2022-03-07,GM15,Free State of Thuringia,6640
2022-03-07,GM16,Berlin State,4277
