"forecast_date","target","target_end_date","location","quantile","value","type"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.01,79914,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.01,94510,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.01,110621,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.01,128229,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.025,80148,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.025,95005,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.025,111445,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.025,129452,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.05,80600,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.05,95968,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.05,113053,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.05,131851,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.1,81527,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.1,97950,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.1,116376,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.1,136825,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.15,81932,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.15,98826,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.15,117859,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.15,139066,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.2,82463,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.2,99982,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.2,119828,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.2,142062,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.25,82775,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.25,100663,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.25,120994,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.25,143841,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.3,82912,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.3,100963,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.3,121506,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.3,144623,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.35,83019,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.35,101196,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.35,121906,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.35,145234,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.4,83117,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.4,101411,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.4,122274,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.4,145798,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.45,83225,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.45,101647,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.45,122679,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.45,146419,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.5,83373,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.5,101972,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.5,123240,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.5,147280,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.55,83495,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.55,102241,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.55,123703,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.55,147991,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.6,83671,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.6,102628,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.6,124372,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.6,149020,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.65,83818,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.65,102952,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.65,124930,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.65,149880,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.7,83964,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.7,103275,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.7,125487,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.7,150737,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.75,84111,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.75,103598,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.75,126047,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.75,151601,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.8,84383,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.8,104202,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.8,127094,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.8,153223,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.85,84664,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.85,104828,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.85,128186,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.85,154920,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.9,85414,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.9,106505,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.9,131124,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.9,159509,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.95,86674,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.95,109355,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.95,136170,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.95,167472,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.975,87106,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.975,110337,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.975,137917,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.975,170241,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",0.99,87604,"quantile"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",0.99,111476,"quantile"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",0.99,139953,"quantile"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",0.99,173484,"quantile"
"2021-09-06","1 wk ahead inc case","2021-09-11","GM",NA,83430,"point"
"2021-09-06","2 wk ahead inc case","2021-09-18","GM",NA,102100,"point"
"2021-09-06","3 wk ahead inc case","2021-09-25","GM",NA,123461,"point"
"2021-09-06","4 wk ahead inc case","2021-10-02","GM",NA,147620,"point"
