"forecast_date","target","target_end_date","location","quantile","value","type"
"2021-11-08","1 wk ahead inc case","2021-11-13","GM",0.01,161882,"quantile"
"2021-11-08","2 wk ahead inc case","2021-11-20","GM",0.01,187555,"quantile"
"2021-11-08","3 wk ahead inc case","2021-11-27","GM",0.01,215168,"quantile"
"2021-11-08","4 wk ahead inc case","2021-12-04","GM",0.01,244584,"quantile"
"2021-11-08","1 wk ahead inc case","2021-11-13","GM",0.025,162233,"quantile"
"2021-11-08","2 wk ahead inc case","2021-11-20","GM",0.025,188281,"quantile"
"2021-11-08","3 wk ahead inc case","2021-11-27","GM",0.025,216345,"quantile"
"2021-11-08","4 wk ahead inc case","2021-12-04","GM",0.025,246294,"quantile"
"2021-11-08","1 wk ahead inc case","2021-11-13","GM",0.05,162881,"quantile"
"2021-11-08","2 wk ahead inc case","2021-11-20","GM",0.05,189626,"quantile"
"2021-11-08","3 wk ahead inc case","2021-11-27","GM",0.05,218540,"quantile"
"2021-11-08","4 wk ahead inc case","2021-12-04","GM",0.05,249495,"quantile"
"2021-11-08","1 wk ahead inc case","2021-11-13","GM",0.1,163849,"quantile"
"2021-11-08","2 wk ahead inc case","2021-11-20","GM",0.1,191645,"quantile"
"2021-11-08","3 wk ahead inc case","2021-11-27","GM",0.1,221846,"quantile"
"2021-11-08","4 wk ahead inc case","2021-12-04","GM",0.1,254334,"quantile"
"2021-11-08","1 wk ahead inc case","2021-11-13","GM",0.15,164349,"quantile"
"2021-11-08","2 wk ahead inc case","2021-11-20","GM",0.15,192686,"quantile"
"2021-11-08","3 wk ahead inc case","2021-11-27","GM",0.15,223553,"quantile"
"2021-11-08","4 wk ahead inc case","2021-12-04","GM",0.15,256836,"quantile"
"2021-11-08","1 wk ahead inc case","2021-11-13","GM",0.2,164694,"quantile"
"2021-11-08","2 wk ahead inc case","2021-11-20","GM",0.2,193405,"quantile"
"2021-11-08","3 wk ahead inc case","2021-11-27","GM",0.2,224734,"quantile"
"2021-11-08","4 wk ahead inc case","2021-12-04","GM",0.2,258571,"quantile"
"2021-11-08","1 wk ahead inc case","2021-11-13","GM",0.25,164950,"quantile"
"2021-11-08","2 wk ahead inc case","2021-11-20","GM",0.25,193940,"quantile"
"2021-11-08","3 wk ahead inc case","2021-11-27","GM",0.25,225612,"quantile"
"2021-11-08","4 wk ahead inc case","2021-12-04","GM",0.25,259862,"quantile"
"2021-11-08","1 wk ahead inc case","2021-11-13","GM",0.3,165214,"quantile"
"2021-11-08","2 wk ahead inc case","2021-11-20","GM",0.3,194490,"quantile"
"2021-11-08","3 wk ahead inc case","2021-11-27","GM",0.3,226516,"quantile"
"2021-11-08","4 wk ahead inc case","2021-12-04","GM",0.3,261191,"quantile"
"2021-11-08","1 wk ahead inc case","2021-11-13","GM",0.35,165462,"quantile"
