"forecast_date","target","target_end_date","location","quantile","value","type"
"2021-06-21","1 wk ahead inc case","2021-06-26","GM",0.01,4241,"quantile"
"2021-06-21","2 wk ahead inc case","2021-07-03","GM",0.01,1463,"quantile"
"2021-06-21","3 wk ahead inc case","2021-07-10","GM",0.01,581,"quantile"
"2021-06-21","4 wk ahead inc case","2021-07-17","GM",0.01,271,"quantile"
"2021-06-21","1 wk ahead inc case","2021-06-26","GM",0.025,4269,"quantile"
"2021-06-21","2 wk ahead inc case","2021-07-03","GM",0.025,1491,"quantile"
"2021-06-21","3 wk ahead inc case","2021-07-10","GM",0.025,598,"quantile"
"2021-06-21","4 wk ahead inc case","2021-07-17","GM",0.025,280,"quantile"
"2021-06-21","1 wk ahead inc case","2021-06-26","GM",0.05,4292,"quantile"
"2021-06-21","2 wk ahead inc case","2021-07-03","GM",0.05,1515,"quantile"
"2021-06-21","3 wk ahead inc case","2021-07-10","GM",0.05,612,"quantile"
"2021-06-21","4 wk ahead inc case","2021-07-17","GM",0.05,289,"quantile"
"2021-06-21","1 wk ahead inc case","2021-06-26","GM",0.1,4340,"quantile"
"2021-06-21","2 wk ahead inc case","2021-07-03","GM",0.1,1562,"quantile"
"2021-06-21","3 wk ahead inc case","2021-07-10","GM",0.1,640,"quantile"
"2021-06-21","4 wk ahead inc case","2021-07-17","GM",0.1,304,"quantile"
"2021-06-21","1 wk ahead inc case","2021-06-26","GM",0.15,4366,"quantile"
"2021-06-21","2 wk ahead inc case","2021-07-03","GM",0.15,1589,"quantile"
"2021-06-21","3 wk ahead inc case","2021-07-10","GM",0.15,657,"quantile"
"2021-06-21","4 wk ahead inc case","2021-07-17","GM",0.15,313,"quantile"
"2021-06-21","1 wk ahead inc case","2021-06-26","GM",0.2,4420,"quantile"
"2021-06-21","2 wk ahead inc case","2021-07-03","GM",0.2,1643,"quantile"
"2021-06-21","3 wk ahead inc case","2021-07-10","GM",0.2,690,"quantile"
"2021-06-21","4 wk ahead inc case","2021-07-17","GM",0.2,332,"quantile"
"2021-06-21","1 wk ahead inc case","2021-06-26","GM",0.25,4457,"quantile"
"2021-06-21","2 wk ahead inc case","2021-07-03","GM",0.25,1682,"quantile"
"2021-06-21","3 wk ahead inc case","2021-07-10","GM",0.25,713,"quantile"
"2021-06-21","4 wk ahead inc case","2021-07-17","GM",0.25,345,"quantile"
"2021-06-21","1 wk ahead inc case","2021-06-26","GM",0.3,4485,"quantile"
"2021-06-21","2 wk ahead inc case","2021-07-03","GM",0.3,1711,"quantile"
"2021-06-21","3 wk ahead inc case","2021-07-10","GM",0.3,731,"quantile"
