"forecast_date","target","target_end_date","location","quantile","value","type"
"2021-07-05","4 wk ahead inc case","2021-07-31","GM",0.75,357,"quantile"
"2021-07-05","1 wk ahead inc case","2021-07-10","GM",0.8,1738,"quantile"
"2021-07-05","2 wk ahead inc case","2021-07-17","GM",0.8,795,"quantile"
"2021-07-05","3 wk ahead inc case","2021-07-24","GM",0.8,484,"quantile"
"2021-07-05","4 wk ahead inc case","2021-07-31","GM",0.8,357,"quantile"
"2021-07-05","1 wk ahead inc case","2021-07-10","GM",0.85,1738,"quantile"
"2021-07-05","2 wk ahead inc case","2021-07-17","GM",0.85,795,"quantile"
"2021-07-05","3 wk ahead inc case","2021-07-24","GM",0.85,484,"quantile"
"2021-07-05","4 wk ahead inc case","2021-07-31","GM",0.85,357,"quantile"
"2021-07-05","1 wk ahead inc case","2021-07-10","GM",0.9,1738,"quantile"
"2021-07-05","2 wk ahead inc case","2021-07-17","GM",0.9,795,"quantile"
"2021-07-05","3 wk ahead inc case","2021-07-24","GM",0.9,484,"quantile"
"2021-07-05","4 wk ahead inc case","2021-07-31","GM",0.9,357,"quantile"
"2021-07-05","1 wk ahead inc case","2021-07-10","GM",0.95,1741,"quantile"
"2021-07-05","2 wk ahead inc case","2021-07-17","GM",0.95,798,"quantile"
"2021-07-05","3 wk ahead inc case","2021-07-24","GM",0.95,487,"quantile"
"2021-07-05","4 wk ahead inc case","2021-07-31","GM",0.95,359,"quantile"
"2021-07-05","1 wk ahead inc case","2021-07-10","GM",0.975,1744,"quantile"
"2021-07-05","2 wk ahead inc case","2021-07-17","GM",0.975,802,"quantile"
"2021-07-05","3 wk ahead inc case","2021-07-24","GM",0.975,489,"quantile"
"2021-07-05","4 wk ahead inc case","2021-07-31","GM",0.975,361,"quantile"
"2021-07-05","1 wk ahead inc case","2021-07-10","GM",0.99,1745,"quantile"
"2021-07-05","2 wk ahead inc case","2021-07-17","GM",0.99,803,"quantile"
"2021-07-05","3 wk ahead inc case","2021-07-24","GM",0.99,490,"quantile"
"2021-07-05","4 wk ahead inc case","2021-07-31","GM",0.99,362,"quantile"
"2021-07-05","1 wk ahead inc case","2021-07-10","GM",NA,1537,"point"
"2021-07-05","2 wk ahead inc case","2021-07-17","GM",NA,582,"point"
"2021-07-05","3 wk ahead inc case","2021-07-24","GM",NA,320,"point"
"2021-07-05","4 wk ahead inc case","2021-07-31","GM",NA,226,"point"
