"forecast_date","target","target_end_date","location","quantile","value","type"
"2021-05-24","1 wk ahead inc case","2021-05-29","GM",0.01,28086.5582962218,"quantile"
"2021-05-24","2 wk ahead inc case","2021-06-05","GM",0.01,10870.3427223008,"quantile"
"2021-05-24","3 wk ahead inc case","2021-06-12","GM",0.01,4991.62936259286,"quantile"
"2021-05-24","4 wk ahead inc case","2021-06-19","GM",0.01,2644.77368909117,"quantile"
"2021-05-24","1 wk ahead inc case","2021-05-29","GM",0.025,28247.4892228498,"quantile"
"2021-05-24","2 wk ahead inc case","2021-06-05","GM",0.025,11037.0071529349,"quantile"
"2021-05-24","3 wk ahead inc case","2021-06-12","GM",0.025,5102.28521905722,"quantile"
"2021-05-24","4 wk ahead inc case","2021-06-19","GM",0.025,2715.63688378454,"quantile"
"2021-05-24","1 wk ahead inc case","2021-05-29","GM",0.05,28631.3836198288,"quantile"
"2021-05-24","2 wk ahead inc case","2021-06-05","GM",0.05,11439.5528804875,"quantile"
"2021-05-24","3 wk ahead inc case","2021-06-12","GM",0.05,5372.06413601725,"quantile"
"2021-05-24","4 wk ahead inc case","2021-06-19","GM",0.05,2889.41557322738,"quantile"
"2021-05-24","1 wk ahead inc case","2021-05-29","GM",0.1,29341.5348080799,"quantile"
"2021-05-24","2 wk ahead inc case","2021-06-05","GM",0.1,12207.1249689765,"quantile"
"2021-05-24","3 wk ahead inc case","2021-06-12","GM",0.1,5899.73037442494,"quantile"
"2021-05-24","4 wk ahead inc case","2021-06-19","GM",0.1,3235.82560224172,"quantile"
"2021-05-24","1 wk ahead inc case","2021-05-29","GM",0.15,29927.2620123564,"quantile"
"2021-05-24","2 wk ahead inc case","2021-06-05","GM",0.15,12863.7745936549,"quantile"
"2021-05-24","3 wk ahead inc case","2021-06-12","GM",0.15,6365.29553748865,"quantile"
"2021-05-24","4 wk ahead inc case","2021-06-19","GM",0.15,3548.74918679439,"quantile"
"2021-05-24","1 wk ahead inc case","2021-05-29","GM",0.2,30680.3098648793,"quantile"
"2021-05-24","2 wk ahead inc case","2021-06-05","GM",0.2,13738.7260363418,"quantile"
"2021-05-24","3 wk ahead inc case","2021-06-12","GM",0.2,7004.63353311781,"quantile"
"2021-05-24","4 wk ahead inc case","2021-06-19","GM",0.2,3988.43425943341,"quantile"
"2021-05-24","1 wk ahead inc case","2021-05-29","GM",0.25,31774.0667037151,"quantile"
"2021-05-24","2 wk ahead inc case","2021-06-05","GM",0.25,15073.3031815852,"quantile"
"2021-05-24","3 wk ahead inc case","2021-06-12","GM",0.25,8021.64151542949,"quantile"
"2021-05-24","4 wk ahead inc case","2021-06-19","GM",0.25,4711.04120764434,"quantile"
"2021-05-24","1 wk ahead inc case","2021-05-29","GM",0.3,32622.6862632746,"quantile"
"2021-05-24","2 wk ahead inc case","2021-06-05","GM",0.3,16162.0475636136,"quantile"
"2021-05-24","3 wk ahead inc case","2021-06-12","GM",0.3,8888.71023296158,"quantile"
