"forecast_date","target","target_end_date","location","quantile","value","type"
"2021-09-20","1 wk ahead inc case","2021-09-25","GM",0.01,76210,"quantile"
"2021-09-20","2 wk ahead inc case","2021-10-02","GM",0.01,90832,"quantile"
"2021-09-20","3 wk ahead inc case","2021-10-09","GM",0.01,107014,"quantile"
"2021-09-20","4 wk ahead inc case","2021-10-16","GM",0.01,124725,"quantile"
"2021-09-20","1 wk ahead inc case","2021-09-25","GM",0.025,76314,"quantile"
"2021-09-20","2 wk ahead inc case","2021-10-02","GM",0.025,91052,"quantile"
"2021-09-20","3 wk ahead inc case","2021-10-09","GM",0.025,107382,"quantile"
"2021-09-20","4 wk ahead inc case","2021-10-16","GM",0.025,125272,"quantile"
"2021-09-20","1 wk ahead inc case","2021-09-25","GM",0.05,76784,"quantile"
"2021-09-20","2 wk ahead inc case","2021-10-02","GM",0.05,92052,"quantile"
"2021-09-20","3 wk ahead inc case","2021-10-09","GM",0.05,109056,"quantile"
"2021-09-20","4 wk ahead inc case","2021-10-16","GM",0.05,127780,"quantile"
"2021-09-20","1 wk ahead inc case","2021-09-25","GM",0.1,77191,"quantile"
"2021-09-20","2 wk ahead inc case","2021-10-02","GM",0.1,92923,"quantile"
"2021-09-20","3 wk ahead inc case","2021-10-09","GM",0.1,110524,"quantile"
"2021-09-20","4 wk ahead inc case","2021-10-16","GM",0.1,129987,"quantile"
"2021-09-20","1 wk ahead inc case","2021-09-25","GM",0.15,77616,"quantile"
"2021-09-20","2 wk ahead inc case","2021-10-02","GM",0.15,93838,"quantile"
"2021-09-20","3 wk ahead inc case","2021-10-09","GM",0.15,112072,"quantile"
"2021-09-20","4 wk ahead inc case","2021-10-16","GM",0.15,132326,"quantile"
"2021-09-20","1 wk ahead inc case","2021-09-25","GM",0.2,77985,"quantile"
"2021-09-20","2 wk ahead inc case","2021-10-02","GM",0.2,94635,"quantile"
"2021-09-20","3 wk ahead inc case","2021-10-09","GM",0.2,113425,"quantile"
"2021-09-20","4 wk ahead inc case","2021-10-16","GM",0.2,134379,"quantile"
"2021-09-20","1 wk ahead inc case","2021-09-25","GM",0.25,78277,"quantile"
"2021-09-20","2 wk ahead inc case","2021-10-02","GM",0.25,95268,"quantile"
"2021-09-20","3 wk ahead inc case","2021-10-09","GM",0.25,114505,"quantile"
"2021-09-20","4 wk ahead inc case","2021-10-16","GM",0.25,136022,"quantile"
"2021-09-20","1 wk ahead inc case","2021-09-25","GM",0.3,78389,"quantile"
"2021-09-20","2 wk ahead inc case","2021-10-02","GM",0.3,95512,"quantile"
"2021-09-20","3 wk ahead inc case","2021-10-09","GM",0.3,114920,"quantile"
"2021-09-20","4 wk ahead inc case","2021-10-16","GM",0.3,136655,"quantile"
"2021-09-20","1 wk ahead inc case","2021-09-25","GM",0.35,78479,"quantile"
"2021-09-20","2 wk ahead inc case","2021-10-02","GM",0.35,95707,"quantile"
"2021-09-20","3 wk ahead inc case","2021-10-09","GM",0.35,115253,"quantile"
"2021-09-20","4 wk ahead inc case","2021-10-16","GM",0.35,137163,"quantile"
"2021-09-20","1 wk ahead inc case","2021-09-25","GM",0.4,78563,"quantile"
"2021-09-20","2 wk ahead inc case","2021-10-02","GM",0.4,95889,"quantile"
"2021-09-20","3 wk ahead inc case","2021-10-09","GM",0.4,115564,"quantile"
"2021-09-20","4 wk ahead inc case","2021-10-16","GM",0.4,137636,"quantile"
"2021-09-20","1 wk ahead inc case","2021-09-25","GM",0.45,78662,"quantile"
"2021-09-20","2 wk ahead inc case","2021-10-02","GM",0.45,96102,"quantile"
"2021-09-20","3 wk ahead inc case","2021-10-09","GM",0.45,115927,"quantile"
"2021-09-20","4 wk ahead inc case","2021-10-16","GM",0.45,138189,"quantile"
"2021-09-20","1 wk ahead inc case","2021-09-25","GM",0.5,78815,"quantile"
"2021-09-20","2 wk ahead inc case","2021-10-02","GM",0.5,96434,"quantile"
"2021-09-20","3 wk ahead inc case","2021-10-09","GM",0.5,116495,"quantile"
"2021-09-20","4 wk ahead inc case","2021-10-16","GM",0.5,139056,"quantile"
"2021-09-20","1 wk ahead inc case","2021-09-25","GM",0.55,78962,"quantile"
"2021-09-20","2 wk ahead inc case","2021-10-02","GM",0.55,96756,"quantile"
"2021-09-20","3 wk ahead inc case","2021-10-09","GM",0.55,117045,"quantile"
"2021-09-20","4 wk ahead inc case","2021-10-16","GM",0.55,139897,"quantile"
"2021-09-20","1 wk ahead inc case","2021-09-25","GM",0.6,79088,"quantile"
"2021-09-20","2 wk ahead inc case","2021-10-02","GM",0.6,97029,"quantile"
"2021-09-20","3 wk ahead inc case","2021-10-09","GM",0.6,117515,"quantile"
"2021-09-20","4 wk ahead inc case","2021-10-16","GM",0.6,140616,"quantile"
"2021-09-20","1 wk ahead inc case","2021-09-25","GM",0.65,79174,"quantile"
"2021-09-20","2 wk ahead inc case","2021-10-02","GM",0.65,97219,"quantile"
"2021-09-20","3 wk ahead inc case","2021-10-09","GM",0.65,117841,"quantile"
"2021-09-20","4 wk ahead inc case","2021-10-16","GM",0.65,141118,"quantile"
"2021-09-20","1 wk ahead inc case","2021-09-25","GM",0.7,79276,"quantile"
