"location","target","type","quantile","target_end_date","forecast_date","value"
"PL","1 wk ahead inc case","point",NA,"2021-08-28","2021-08-23",1439
"PL","1 wk ahead inc case","quantile",0.01,"2021-08-28","2021-08-23",1164
"PL","1 wk ahead inc case","quantile",0.025,"2021-08-28","2021-08-23",1212
"PL","1 wk ahead inc case","quantile",0.05,"2021-08-28","2021-08-23",1242
"PL","1 wk ahead inc case","quantile",0.1,"2021-08-28","2021-08-23",1284
"PL","1 wk ahead inc case","quantile",0.15,"2021-08-28","2021-08-23",1309
"PL","1 wk ahead inc case","quantile",0.2,"2021-08-28","2021-08-23",1330
"PL","1 wk ahead inc case","quantile",0.25,"2021-08-28","2021-08-23",1350
"PL","1 wk ahead inc case","quantile",0.3,"2021-08-28","2021-08-23",1371
"PL","1 wk ahead inc case","quantile",0.35,"2021-08-28","2021-08-23",1392
"PL","1 wk ahead inc case","quantile",0.4,"2021-08-28","2021-08-23",1409
"PL","1 wk ahead inc case","quantile",0.45,"2021-08-28","2021-08-23",1424
"PL","1 wk ahead inc case","quantile",0.5,"2021-08-28","2021-08-23",1439
"PL","1 wk ahead inc case","quantile",0.55,"2021-08-28","2021-08-23",1453
"PL","1 wk ahead inc case","quantile",0.6,"2021-08-28","2021-08-23",1468
"PL","1 wk ahead inc case","quantile",0.65,"2021-08-28","2021-08-23",1488
"PL","1 wk ahead inc case","quantile",0.7,"2021-08-28","2021-08-23",1508
"PL","1 wk ahead inc case","quantile",0.75,"2021-08-28","2021-08-23",1527
"PL","1 wk ahead inc case","quantile",0.8,"2021-08-28","2021-08-23",1550
"PL","1 wk ahead inc case","quantile",0.85,"2021-08-28","2021-08-23",1576
"PL","1 wk ahead inc case","quantile",0.9,"2021-08-28","2021-08-23",1608
"PL","1 wk ahead inc case","quantile",0.95,"2021-08-28","2021-08-23",1660
"PL","1 wk ahead inc case","quantile",0.975,"2021-08-28","2021-08-23",1706
"PL","1 wk ahead inc case","quantile",0.99,"2021-08-28","2021-08-23",1742
"PL","2 wk ahead inc case","point",NA,"2021-09-04","2021-08-23",1507
"PL","2 wk ahead inc case","quantile",0.01,"2021-09-04","2021-08-23",1093
"PL","2 wk ahead inc case","quantile",0.025,"2021-09-04","2021-08-23",1170
"PL","2 wk ahead inc case","quantile",0.05,"2021-09-04","2021-08-23",1228
"PL","2 wk ahead inc case","quantile",0.1,"2021-09-04","2021-08-23",1292
"PL","2 wk ahead inc case","quantile",0.15,"2021-09-04","2021-08-23",1328
"PL","2 wk ahead inc case","quantile",0.2,"2021-09-04","2021-08-23",1360
"PL","2 wk ahead inc case","quantile",0.25,"2021-09-04","2021-08-23",1388
"PL","2 wk ahead inc case","quantile",0.3,"2021-09-04","2021-08-23",1408
"PL","2 wk ahead inc case","quantile",0.35,"2021-09-04","2021-08-23",1437
"PL","2 wk ahead inc case","quantile",0.4,"2021-09-04","2021-08-23",1455
"PL","2 wk ahead inc case","quantile",0.45,"2021-09-04","2021-08-23",1478
"PL","2 wk ahead inc case","quantile",0.5,"2021-09-04","2021-08-23",1507
"PL","2 wk ahead inc case","quantile",0.55,"2021-09-04","2021-08-23",1529
"PL","2 wk ahead inc case","quantile",0.6,"2021-09-04","2021-08-23",1555
"PL","2 wk ahead inc case","quantile",0.65,"2021-09-04","2021-08-23",1580
"PL","2 wk ahead inc case","quantile",0.7,"2021-09-04","2021-08-23",1598
"PL","2 wk ahead inc case","quantile",0.75,"2021-09-04","2021-08-23",1633
"PL","2 wk ahead inc case","quantile",0.8,"2021-09-04","2021-08-23",1664
"PL","2 wk ahead inc case","quantile",0.85,"2021-09-04","2021-08-23",1710
"PL","2 wk ahead inc case","quantile",0.9,"2021-09-04","2021-08-23",1759
"PL","2 wk ahead inc case","quantile",0.95,"2021-09-04","2021-08-23",1843
"PL","2 wk ahead inc case","quantile",0.975,"2021-09-04","2021-08-23",1918
"PL","2 wk ahead inc case","quantile",0.99,"2021-09-04","2021-08-23",2019
"PL","3 wk ahead inc case","point",NA,"2021-09-11","2021-08-23",1567
"PL","3 wk ahead inc case","quantile",0.01,"2021-09-11","2021-08-23",1025
"PL","3 wk ahead inc case","quantile",0.025,"2021-09-11","2021-08-23",1105
"PL","3 wk ahead inc case","quantile",0.05,"2021-09-11","2021-08-23",1158
"PL","3 wk ahead inc case","quantile",0.1,"2021-09-11","2021-08-23",1228
"PL","3 wk ahead inc case","quantile",0.15,"2021-09-11","2021-08-23",1287
"PL","3 wk ahead inc case","quantile",0.2,"2021-09-11","2021-08-23",1355
"PL","3 wk ahead inc case","quantile",0.25,"2021-09-11","2021-08-23",1398
"PL","3 wk ahead inc case","quantile",0.3,"2021-09-11","2021-08-23",1430
"PL","3 wk ahead inc case","quantile",0.35,"2021-09-11","2021-08-23",1460
"PL","3 wk ahead inc case","quantile",0.4,"2021-09-11","2021-08-23",1493
"PL","3 wk ahead inc case","quantile",0.45,"2021-09-11","2021-08-23",1529
"PL","3 wk ahead inc case","quantile",0.5,"2021-09-11","2021-08-23",1567
"PL","3 wk ahead inc case","quantile",0.55,"2021-09-11","2021-08-23",1606
"PL","3 wk ahead inc case","quantile",0.6,"2021-09-11","2021-08-23",1643
"PL","3 wk ahead inc case","quantile",0.65,"2021-09-11","2021-08-23",1682
"PL","3 wk ahead inc case","quantile",0.7,"2021-09-11","2021-08-23",1724
"PL","3 wk ahead inc case","quantile",0.75,"2021-09-11","2021-08-23",1770
"PL","3 wk ahead inc case","quantile",0.8,"2021-09-11","2021-08-23",1826
"PL","3 wk ahead inc case","quantile",0.85,"2021-09-11","2021-08-23",1863
"PL","3 wk ahead inc case","quantile",0.9,"2021-09-11","2021-08-23",1949
"PL","3 wk ahead inc case","quantile",0.95,"2021-09-11","2021-08-23",2044
"PL","3 wk ahead inc case","quantile",0.975,"2021-09-11","2021-08-23",2203
"PL","3 wk ahead inc case","quantile",0.99,"2021-09-11","2021-08-23",2365
"PL","4 wk ahead inc case","point",NA,"2021-09-18","2021-08-23",1636
"PL","4 wk ahead inc case","quantile",0.01,"2021-09-18","2021-08-23",893
"PL","4 wk ahead inc case","quantile",0.025,"2021-09-18","2021-08-23",986
"PL","4 wk ahead inc case","quantile",0.05,"2021-09-18","2021-08-23",1071
"PL","4 wk ahead inc case","quantile",0.1,"2021-09-18","2021-08-23",1175
