"location","target","type","quantile","target_end_date","forecast_date","value"
"GM","1 wk ahead inc case","point",NA,"2021-05-08","2021-05-03",100390
"GM","1 wk ahead inc case","quantile",0.01,"2021-05-08","2021-05-03",59932.81
"GM","1 wk ahead inc case","quantile",0.025,"2021-05-08","2021-05-03",65966.2
"GM","1 wk ahead inc case","quantile",0.05,"2021-05-08","2021-05-03",70123.9
"GM","1 wk ahead inc case","quantile",0.1,"2021-05-08","2021-05-03",75181
"GM","1 wk ahead inc case","quantile",0.15,"2021-05-08","2021-05-03",79362.45
"GM","1 wk ahead inc case","quantile",0.2,"2021-05-08","2021-05-03",82771
"GM","1 wk ahead inc case","quantile",0.25,"2021-05-08","2021-05-03",86060.5
"GM","1 wk ahead inc case","quantile",0.3,"2021-05-08","2021-05-03",89279.2
"GM","1 wk ahead inc case","quantile",0.35,"2021-05-08","2021-05-03",91817.05
"GM","1 wk ahead inc case","quantile",0.4,"2021-05-08","2021-05-03",94815.2
"GM","1 wk ahead inc case","quantile",0.45,"2021-05-08","2021-05-03",97652.4
"GM","1 wk ahead inc case","quantile",0.5,"2021-05-08","2021-05-03",100390
"GM","1 wk ahead inc case","quantile",0.55,"2021-05-08","2021-05-03",103106.05
"GM","1 wk ahead inc case","quantile",0.6,"2021-05-08","2021-05-03",105731.4
"GM","1 wk ahead inc case","quantile",0.65,"2021-05-08","2021-05-03",108283.35
"GM","1 wk ahead inc case","quantile",0.7,"2021-05-08","2021-05-03",112120.1
"GM","1 wk ahead inc case","quantile",0.75,"2021-05-08","2021-05-03",115854.75
"GM","1 wk ahead inc case","quantile",0.8,"2021-05-08","2021-05-03",120502.2
"GM","1 wk ahead inc case","quantile",0.85,"2021-05-08","2021-05-03",124816.95
"GM","1 wk ahead inc case","quantile",0.9,"2021-05-08","2021-05-03",130282.6
"GM","1 wk ahead inc case","quantile",0.95,"2021-05-08","2021-05-03",140271.3
"GM","1 wk ahead inc case","quantile",0.975,"2021-05-08","2021-05-03",149602.775
"GM","1 wk ahead inc case","quantile",0.99,"2021-05-08","2021-05-03",157559.07
"GM","2 wk ahead inc case","point",NA,"2021-05-15","2021-05-03",85142.5
"GM","2 wk ahead inc case","quantile",0.01,"2021-05-15","2021-05-03",47454.97
"GM","2 wk ahead inc case","quantile",0.025,"2021-05-15","2021-05-03",51285.425
"GM","2 wk ahead inc case","quantile",0.05,"2021-05-15","2021-05-03",55660.3
"GM","2 wk ahead inc case","quantile",0.1,"2021-05-15","2021-05-03",61728.3
"GM","2 wk ahead inc case","quantile",0.15,"2021-05-15","2021-05-03",66628.3
"GM","2 wk ahead inc case","quantile",0.2,"2021-05-15","2021-05-03",70062.4
"GM","2 wk ahead inc case","quantile",0.25,"2021-05-15","2021-05-03",72903.25
"GM","2 wk ahead inc case","quantile",0.3,"2021-05-15","2021-05-03",74929.1
"GM","2 wk ahead inc case","quantile",0.35,"2021-05-15","2021-05-03",77354.95
"GM","2 wk ahead inc case","quantile",0.4,"2021-05-15","2021-05-03",79987
"GM","2 wk ahead inc case","quantile",0.45,"2021-05-15","2021-05-03",82534.55
"GM","2 wk ahead inc case","quantile",0.5,"2021-05-15","2021-05-03",85142.5
"GM","2 wk ahead inc case","quantile",0.55,"2021-05-15","2021-05-03",87732.5
