"location","target","type","quantile","target_end_date","forecast_date","value"
"GM","1 wk ahead inc case","point",NA,"2021-07-10","2021-07-05",4069
"GM","1 wk ahead inc case","quantile",0.01,"2021-07-10","2021-07-05",1665
"GM","1 wk ahead inc case","quantile",0.025,"2021-07-10","2021-07-05",2117
"GM","1 wk ahead inc case","quantile",0.05,"2021-07-10","2021-07-05",2313
"GM","1 wk ahead inc case","quantile",0.1,"2021-07-10","2021-07-05",2706
"GM","1 wk ahead inc case","quantile",0.15,"2021-07-10","2021-07-05",2894
"GM","1 wk ahead inc case","quantile",0.2,"2021-07-10","2021-07-05",3091
"GM","1 wk ahead inc case","quantile",0.25,"2021-07-10","2021-07-05",3246
"GM","1 wk ahead inc case","quantile",0.3,"2021-07-10","2021-07-05",3410
"GM","1 wk ahead inc case","quantile",0.35,"2021-07-10","2021-07-05",3594
"GM","1 wk ahead inc case","quantile",0.4,"2021-07-10","2021-07-05",3749
"GM","1 wk ahead inc case","quantile",0.45,"2021-07-10","2021-07-05",3908
"GM","1 wk ahead inc case","quantile",0.5,"2021-07-10","2021-07-05",4069
"GM","1 wk ahead inc case","quantile",0.55,"2021-07-10","2021-07-05",4254
"GM","1 wk ahead inc case","quantile",0.6,"2021-07-10","2021-07-05",4450
"GM","1 wk ahead inc case","quantile",0.65,"2021-07-10","2021-07-05",4643
"GM","1 wk ahead inc case","quantile",0.7,"2021-07-10","2021-07-05",4892
"GM","1 wk ahead inc case","quantile",0.75,"2021-07-10","2021-07-05",5142
"GM","1 wk ahead inc case","quantile",0.8,"2021-07-10","2021-07-05",5369
"GM","1 wk ahead inc case","quantile",0.85,"2021-07-10","2021-07-05",5702
"GM","1 wk ahead inc case","quantile",0.9,"2021-07-10","2021-07-05",6454
"GM","1 wk ahead inc case","quantile",0.95,"2021-07-10","2021-07-05",7064
"GM","1 wk ahead inc case","quantile",0.975,"2021-07-10","2021-07-05",7807
"GM","1 wk ahead inc case","quantile",0.99,"2021-07-10","2021-07-05",8271
"GM","2 wk ahead inc case","point",NA,"2021-07-17","2021-07-05",5174
"GM","2 wk ahead inc case","quantile",0.01,"2021-07-17","2021-07-05",1744
"GM","2 wk ahead inc case","quantile",0.025,"2021-07-17","2021-07-05",1943
"GM","2 wk ahead inc case","quantile",0.05,"2021-07-17","2021-07-05",2488
"GM","2 wk ahead inc case","quantile",0.1,"2021-07-17","2021-07-05",2894
"GM","2 wk ahead inc case","quantile",0.15,"2021-07-17","2021-07-05",3223
"GM","2 wk ahead inc case","quantile",0.2,"2021-07-17","2021-07-05",3567
"GM","2 wk ahead inc case","quantile",0.25,"2021-07-17","2021-07-05",3808
"GM","2 wk ahead inc case","quantile",0.3,"2021-07-17","2021-07-05",4082
"GM","2 wk ahead inc case","quantile",0.35,"2021-07-17","2021-07-05",4308
"GM","2 wk ahead inc case","quantile",0.4,"2021-07-17","2021-07-05",4627
"GM","2 wk ahead inc case","quantile",0.45,"2021-07-17","2021-07-05",4857
