"forecast_date","location","target","target_end_date","type","quantile","value"
"2021-09-13","GM","1 wk ahead inc death","2021-09-18","point",NA,378
"2021-09-13","GM","2 wk ahead inc death","2021-09-25","point",NA,471
"2021-09-13","GM","3 wk ahead inc death","2021-10-02","point",NA,544
"2021-09-13","GM","4 wk ahead inc death","2021-10-09","point",NA,597
